trial_number,max_depth,n_estimators,value,state
0,12,741,0.06769652969271696,TrialState.COMPLETE
1,20,743,0.014523847537695048,TrialState.COMPLETE
2,12,522,0.0674342620815131,TrialState.COMPLETE
3,16,358,0.021804014436311973,TrialState.COMPLETE
4,,381,0.014396682971798054,TrialState.COMPLETE
5,16,748,0.022154073583344893,TrialState.COMPLETE
6,8,329,0.14243952263535983,TrialState.COMPLETE
7,16,694,0.02176743795594929,TrialState.COMPLETE
8,20,398,0.014950384341905473,TrialState.COMPLETE
9,12,573,0.0661310148271039,TrialState.COMPLETE
10,,207,0.01447103779348177,TrialState.COMPLETE
11,,216,0.014330596066759241,TrialState.COMPLETE
12,,221,0.014282264742395004,TrialState.COMPLETE
13,,208,0.014276053676154598,TrialState.COMPLETE
14,,273,0.014048710697682409,TrialState.COMPLETE
15,,304,0.014422718151831593,TrialState.COMPLETE
16,8,461,0.1413629743475443,TrialState.COMPLETE
17,,285,0.014039573072219293,TrialState.COMPLETE
18,,296,0.014065318605944233,TrialState.COMPLETE
19,,455,0.014171675395028435,TrialState.COMPLETE
20,8,591,0.14198844134250815,TrialState.COMPLETE
21,,290,0.014080317372384858,TrialState.COMPLETE
22,,279,0.014032130025816408,TrialState.COMPLETE
23,,265,0.014382600073664547,TrialState.COMPLETE
24,,429,0.01420425645673399,TrialState.COMPLETE
25,20,256,0.015038096959209792,TrialState.COMPLETE
26,,345,0.014105297681897763,TrialState.COMPLETE
27,,264,0.014191714567781176,TrialState.COMPLETE
28,,411,0.014114666920812407,TrialState.COMPLETE
29,12,507,0.06579383014065908,TrialState.COMPLETE
