trial_number,colsample_bytree,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,value,state
0,0.9686846626648229,0.00804554025669692,3,502,2.1708392626847107e-08,3.0114835476895694,0.7406476227022114,0.21560953817355158,TrialState.COMPLETE
1,0.9444183247359672,0.024375620746044022,6,809,0.024373933983622722,0.15853385702707565,0.7137222077954495,0.07179045070946187,TrialState.COMPLETE
2,0.7240726675639131,0.030549388178926034,8,860,2.418373877236313e-07,2.652464556528996,0.7301749397394481,0.024164013670314833,TrialState.COMPLETE
3,0.6291544163822872,0.0325033209146834,6,406,1.2558657396862754e-08,0.15182986151484396,0.9432945472173792,0.08902147544516477,TrialState.COMPLETE
4,0.8382565370240862,0.008292273304348523,4,809,5.4715511738005776e-08,0.002921882396940617,0.612811426668241,0.1793117429764498,TrialState.COMPLETE
5,0.8493292655158069,0.11463297493345706,7,480,3.861923623751779e-05,1.9443833239290027,0.913113687376694,0.023305634992698443,TrialState.COMPLETE
6,0.68205840458757,0.09316282191644083,6,895,2.9126055929861483e-05,0.006930762712352586,0.8782187340243195,0.025330995038132638,TrialState.COMPLETE
7,0.9872698486692613,0.01033142600771755,6,406,1.0724274304737332e-07,4.528263813680663,0.876915507393615,0.15052721088146673,TrialState.COMPLETE
8,0.9429511191126904,0.04826547002149364,3,408,0.0008271814658732187,1.4638383842341223,0.7230689418956389,0.17237263943174122,TrialState.COMPLETE
9,0.7151072818541094,0.03460388516857499,4,536,0.000300436503777717,0.28091510944474085,0.6302140334372499,0.14202912990007502,TrialState.COMPLETE
10,0.8408896447928548,0.19701725043965262,8,671,4.160757448319862e-06,0.03112293306802275,0.9637903041366772,0.01622165195152002,TrialState.COMPLETE
11,0.8351055156482533,0.1276452309392453,8,652,3.790752889112659e-06,0.02858758135385902,0.9882261111828283,0.015404108901979128,TrialState.COMPLETE
12,0.8047817595906231,0.18182446366536742,8,669,2.182833132007855e-06,0.01956836273225212,0.9964942170851726,0.016535949249422456,TrialState.COMPLETE
13,0.8884985989832824,0.17525353701929652,8,672,2.3649369022907104e-06,0.035146459035429414,0.9886973749303815,0.016498288279059165,TrialState.COMPLETE
14,0.7704600127201223,0.08055486997156676,7,605,3.1869981242915954e-06,0.001437447533346,0.81286901354015,0.02281806760079157,TrialState.COMPLETE
15,0.8897422787796344,0.19783273824380712,7,733,2.285136723340963e-05,0.0226887269552264,0.9523968104352848,0.018116474848172845,TrialState.COMPLETE
16,0.774409506443422,0.06311509878189454,8,599,4.087734278318547e-07,0.6159997201015585,0.8286942839123019,0.018813666147939622,TrialState.COMPLETE
17,0.8795441295653843,0.12228687243741854,5,739,0.0004132869316155086,0.04622477686337751,0.8845145226529473,0.0458551898074974,TrialState.COMPLETE
18,0.8143501018016984,0.016248516497349527,7,986,0.028889221132383198,0.008846282033190295,0.9557102852873823,0.057372925129213416,TrialState.COMPLETE
19,0.7453765369626815,0.13128913552177363,5,577,5.33560496375059e-06,0.06751800778390095,0.8437338407085309,0.051982430478313336,TrialState.COMPLETE
20,0.855506734874511,0.056960710795186845,8,722,7.001748541865861e-07,0.00809896075414369,0.7706657817980789,0.01653998539448509,TrialState.COMPLETE
21,0.9056378479779246,0.16657024900787307,8,668,7.3923845935348675e-06,0.03291746874208535,0.9999031623931077,0.01627973623861361,TrialState.COMPLETE
