trial_number,batch_size,epochs,learning_rate,value,state
0,32,9,0.0007245194659772543,51.2556780391207,TrialState.COMPLETE
1,128,14,8.772738730668955e-05,78.08505228675332,TrialState.COMPLETE
2,128,19,0.00016451152705925987,72.32761361614422,TrialState.COMPLETE
3,128,9,0.0007246835289293111,64.21179630843736,TrialState.COMPLETE
4,128,12,0.0014538872863459251,51.870672353369635,TrialState.COMPLETE
5,128,13,0.003293391779924472,46.86723373164081,TrialState.COMPLETE
6,32,8,0.0029068793482437704,43.55022608876804,TrialState.COMPLETE
7,128,7,0.0009461252310648697,63.91628512285621,TrialState.COMPLETE
8,32,19,0.0018828946791212312,40.01476625640449,TrialState.COMPLETE
9,64,20,0.0004409125045645756,52.90117140051697,TrialState.COMPLETE
