trial_number,batch_size,epochs,learning_rate,value,state
0,256,19,0.0025271244362575253,0.25550962523584403,TrialState.COMPLETE
1,256,5,0.0004816181678380186,0.25662726276048603,TrialState.COMPLETE
2,128,17,0.0005110561309317234,0.2557176386662081,TrialState.COMPLETE
3,128,19,0.0006111107824222293,0.2552074688617831,TrialState.COMPLETE
4,512,5,0.0003690989607971946,0.3061783580283466,TrialState.COMPLETE
5,256,15,0.003147749638109099,0.2555591481642737,TrialState.COMPLETE
6,128,8,9.416144798569645e-05,0.2594696739637006,TrialState.COMPLETE
7,512,13,0.0013676710433749237,0.2557765739353714,TrialState.COMPLETE
8,128,13,7.641671953674546e-05,0.2559058896946254,TrialState.COMPLETE
9,512,7,0.0007142717354253545,0.2572870535314701,TrialState.COMPLETE
