trial_number,batch_size,bidirectional,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,128,True,0.011154866534552376,16,152,0.00022678527926131074,2,mean,0.06863860933034878,TrialState.COMPLETE
1,256,False,0.08176791455134182,14,96,0.003357008986100703,1,mean,0.0978213964246391,TrialState.COMPLETE
2,128,True,0.17158263159134882,12,178,0.0019655960325349713,3,mean,0.0764249790285055,TrialState.COMPLETE
3,512,False,0.059983822027167705,12,213,0.000771456921096109,1,max,0.07805178609160816,TrialState.COMPLETE
4,512,False,0.29012327452398706,19,165,0.0036494620316348736,2,mean,0.09912719613819769,TrialState.COMPLETE
5,128,True,0.11915385634045034,15,246,0.000633202702363142,1,max,0.04175186836866495,TrialState.COMPLETE
6,256,True,0.03565473694006333,11,98,0.00029566051324200684,3,max,0.08022134174046944,TrialState.COMPLETE
7,128,False,0.21846398993411043,8,87,0.00022361443289980624,1,max,0.14135092554005294,TrialState.COMPLETE
8,512,True,0.2918648736404849,16,169,0.004693933836078272,2,last,0.13147613736446082,TrialState.COMPLETE
9,256,True,0.22002524779582264,11,113,0.0002513742535037187,2,last,0.11958432437309402,TrialState.COMPLETE
10,128,True,0.11307280391369176,20,256,0.0007409648308615947,1,max,0.03370055475280688,TrialState.COMPLETE
11,128,True,0.11394749977497534,20,256,0.0007697378413725418,1,max,0.061208629135566045,TrialState.COMPLETE
12,128,True,0.13825993179281007,18,251,0.0011773260422188554,1,max,0.06822986596358209,TrialState.COMPLETE
13,128,True,0.10671734511717514,16,216,0.0004626871618711068,1,max,0.054457976855058265,TrialState.COMPLETE
14,128,True,0.17861236103426273,18,223,0.00011923608178084552,1,max,0.07210559782383154,TrialState.COMPLETE
15,128,True,0.08242810574613552,8,236,0.0013203048945711917,2,max,0.05953492027830644,TrialState.COMPLETE
16,128,True,0.1434246619080608,14,193,0.0004355386537230102,1,last,0.08649393670190601,TrialState.COMPLETE
17,128,True,0.20575814331994421,20,134,0.000517792578501534,3,max,0.06071523554474951,TrialState.COMPLETE
18,256,False,0.11649288057176892,14,66,0.0013914715160476666,1,max,0.08292013755269811,TrialState.COMPLETE
19,512,True,0.05382374327371599,17,192,0.00012487267033249076,2,last,0.15091621530214502,TrialState.COMPLETE
