trial_number,batch_size,bidirectional,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,64,False,0.08680992168221087,12,146,0.0003890472229900644,2,mean,10.825950062843612,TrialState.COMPLETE
1,128,False,0.059428926060133676,15,116,0.00015842900741840294,2,mean,38.35291283398906,TrialState.COMPLETE
2,32,False,0.28440022565502954,12,114,0.001571428523701649,2,max,3.314784719574045,TrialState.COMPLETE
3,128,True,0.09694238919769477,11,233,0.0023758335183276746,2,last,6.637725987152345,TrialState.COMPLETE
4,64,True,0.06317505066071825,24,108,0.00041408252439553727,3,mean,6.2560383428388855,TrialState.COMPLETE
5,64,True,0.08732290873452518,21,70,0.0012181381993259918,3,last,3.815077613850999,TrialState.COMPLETE
6,32,True,0.15791065221397574,24,197,0.0008331264481273288,2,mean,1.5841188573604554,TrialState.COMPLETE
7,128,False,0.010252630412933639,8,146,0.00033954274655523405,3,last,22.471653014608968,TrialState.COMPLETE
8,32,True,0.20418327179855641,15,139,0.0017272449726606653,1,mean,4.248922323585739,TrialState.COMPLETE
9,128,False,0.20210696328468966,16,87,0.0004800574615183108,2,last,10.44966960183898,TrialState.COMPLETE
10,32,True,0.170205711706323,25,205,0.0008364833030459498,1,max,1.8027399957802746,TrialState.COMPLETE
11,32,True,0.1723908292868534,25,204,0.0008455385069749767,1,max,1.8954059901691167,TrialState.COMPLETE
12,32,True,0.14944207013164698,21,189,0.0009421853442379642,1,max,1.8643032126396304,TrialState.COMPLETE
13,32,True,0.2808538825751598,21,255,0.0006894618722762392,1,max,1.838683327322524,TrialState.COMPLETE
14,32,True,0.14027950090917207,23,185,0.00021127323183549836,1,max,10.726962221703747,TrialState.COMPLETE
15,32,True,0.2364300461832826,19,223,0.0027855639589496484,1,mean,2.3551202266319375,TrialState.COMPLETE
16,32,True,0.12217801855387972,18,176,0.00023992530266956513,3,max,6.290165433663993,TrialState.COMPLETE
17,32,True,0.1856099748254421,23,213,0.00010039789083346325,2,mean,9.411763042562,TrialState.COMPLETE
18,32,True,0.24343082738968014,25,245,0.0006623780527872913,1,max,2.0579040646004665,TrialState.COMPLETE
19,64,True,0.23543714657231268,19,197,0.001170296316494517,2,mean,2.1250096489182364,TrialState.COMPLETE
