trial_number,max_depth,n_estimators,value,state
0,,930,0.9793103448275862,TrialState.COMPLETE
1,10,899,0.9862068965517241,TrialState.COMPLETE
2,10,1181,0.9793103448275862,TrialState.COMPLETE
3,20,1168,0.9862068965517241,TrialState.COMPLETE
4,,722,0.9862068965517241,TrialState.COMPLETE
5,10,588,0.9793103448275862,TrialState.COMPLETE
6,20,933,0.9862068965517241,TrialState.COMPLETE
7,20,497,0.9862068965517241,TrialState.COMPLETE
8,20,391,0.9793103448275862,TrialState.COMPLETE
9,,654,0.9862068965517241,TrialState.COMPLETE
10,15,925,0.9793103448275862,TrialState.COMPLETE
11,10,1160,0.9793103448275862,TrialState.COMPLETE
12,15,1043,0.9793103448275862,TrialState.COMPLETE
13,20,829,0.9862068965517241,TrialState.COMPLETE
14,10,1075,0.9793103448275862,TrialState.COMPLETE
15,20,795,0.9793103448275862,TrialState.COMPLETE
16,10,1072,0.9793103448275862,TrialState.COMPLETE
17,15,865,0.993103448275862,TrialState.COMPLETE
18,15,862,0.9862068965517241,TrialState.COMPLETE
19,15,754,0.9862068965517241,TrialState.COMPLETE
20,15,308,0.9862068965517241,TrialState.COMPLETE
21,15,994,0.9793103448275862,TrialState.COMPLETE
22,20,655,0.9793103448275862,TrialState.COMPLETE
23,10,1117,0.9793103448275862,TrialState.COMPLETE
24,20,994,0.9862068965517241,TrialState.COMPLETE
25,15,860,0.9793103448275862,TrialState.COMPLETE
26,10,713,0.9793103448275862,TrialState.COMPLETE
27,,1002,0.9793103448275862,TrialState.COMPLETE
28,15,546,0.9862068965517241,TrialState.COMPLETE
29,,914,0.9793103448275862,TrialState.COMPLETE
