trial_number,max_depth,n_estimators,value,state
0,10,789,0.993103448275862,TrialState.COMPLETE
1,15,565,0.993103448275862,TrialState.COMPLETE
2,15,542,0.993103448275862,TrialState.COMPLETE
3,15,442,0.993103448275862,TrialState.COMPLETE
4,15,380,0.993103448275862,TrialState.COMPLETE
5,20,316,0.993103448275862,TrialState.COMPLETE
6,,313,0.993103448275862,TrialState.COMPLETE
7,15,231,0.9862068965517241,TrialState.COMPLETE
8,20,773,0.993103448275862,TrialState.COMPLETE
9,15,274,0.993103448275862,TrialState.COMPLETE
10,10,790,0.993103448275862,TrialState.COMPLETE
11,10,642,0.993103448275862,TrialState.COMPLETE
12,10,634,0.993103448275862,TrialState.COMPLETE
13,,673,0.993103448275862,TrialState.COMPLETE
14,10,550,0.993103448275862,TrialState.COMPLETE
15,10,726,0.993103448275862,TrialState.COMPLETE
16,,478,0.993103448275862,TrialState.COMPLETE
17,20,590,0.993103448275862,TrialState.COMPLETE
18,10,721,0.993103448275862,TrialState.COMPLETE
19,15,412,0.993103448275862,TrialState.COMPLETE
20,15,718,0.993103448275862,TrialState.COMPLETE
21,15,530,0.993103448275862,TrialState.COMPLETE
22,15,575,0.993103448275862,TrialState.COMPLETE
23,15,491,0.993103448275862,TrialState.COMPLETE
24,15,602,0.993103448275862,TrialState.COMPLETE
25,10,526,0.993103448275862,TrialState.COMPLETE
26,,680,0.993103448275862,TrialState.COMPLETE
27,20,368,0.993103448275862,TrialState.COMPLETE
28,15,460,0.993103448275862,TrialState.COMPLETE
29,15,432,0.993103448275862,TrialState.COMPLETE
