trial_number,batch_size,bidirectional,conv_channels,conv_kernels,epochs,head_dropout,head_hidden,learning_rate,lstm_dropout,lstm_hidden,lstm_layers,value,state
0,32,False,"[64, 96]","[7, 5]",18,0.25701694636277556,128,0.0005337133239355223,0.1978113999188009,241,2,3.8173354705349767,TrialState.COMPLETE
1,64,False,"[96, 128]","[9, 5]",18,0.08316925523293169,,0.00024991805737100336,0.23655743709448734,184,1,5.574686652302738,TrialState.COMPLETE
2,128,False,"[64, 96]","[9, 5]",22,0.0695835200230595,64,0.0011290537053328465,0.10030366660342235,218,1,5.710955868964132,TrialState.COMPLETE
3,64,False,"[96, 128]","[7, 5]",13,0.10072658766268065,64,0.00021990937755319982,0.03248355220067612,244,2,4.860355584907668,TrialState.COMPLETE
4,32,False,"[64, 96]","[5, 5]",17,0.09490418762650017,,0.0016831643236328794,0.12250498315832074,211,2,4.878366139602131,TrialState.COMPLETE
5,128,False,"[64, 128]","[9, 5]",19,0.0505176308119342,,0.0008520873745169237,0.18378950340483824,208,1,6.308019275314112,TrialState.COMPLETE
6,64,True,"[64, 128]","[9, 5]",17,0.014416953721928881,,0.0011368577283119915,0.15767052931654174,114,2,3.0088687775974514,TrialState.COMPLETE
7,64,False,"[64, 128]","[9, 5]",8,0.009908180583025627,64,0.0003872901723543589,0.11462671835449109,245,1,9.570150269670902,TrialState.COMPLETE
8,32,False,"[64, 96]","[5, 5]",11,0.040726180013190734,64,0.0011764936036526728,0.0889341770749829,144,2,4.248440849187835,TrialState.COMPLETE
9,128,True,"[96, 128]","[7, 5]",10,0.013087558290857048,64,0.0004308118229289404,0.015363379295067314,66,2,4.920029842317218,TrialState.COMPLETE
10,64,True,"[64, 128]","[9, 5]",24,0.1948744495938532,128,0.0028805838623122194,0.2937325379091005,114,2,3.852736350303344,TrialState.COMPLETE
11,32,True,"[64, 128]","[7, 5]",14,0.2925538353642233,128,0.0001164206070918946,0.1874355739843761,109,2,6.230848954896152,TrialState.COMPLETE
12,32,True,"[64, 96]","[7, 5]",21,0.19843663488740587,128,0.0006526660324826297,0.2185365110782705,145,2,4.576656796156947,TrialState.COMPLETE
13,32,True,"[64, 128]","[7, 5]",14,0.2858676970300543,128,0.0021510319623228823,0.15699147407545735,99,2,4.645731470106078,TrialState.COMPLETE
14,64,True,"[64, 96]","[5, 5]",15,0.23745710003127754,,0.0006236348144446716,0.24241249393218223,162,2,4.630423175760623,TrialState.COMPLETE
15,64,True,"[64, 128]","[9, 5]",20,0.13499574542633144,128,0.0002870475305283223,0.28667932608299573,72,2,3.9879422842381445,TrialState.COMPLETE
16,32,False,"[64, 96]","[7, 5]",25,0.15317963808679538,,0.0012660833977279425,0.1611506026366581,178,2,2.554757213516272,TrialState.COMPLETE
17,32,True,"[64, 128]","[7, 5]",25,0.14487852079770197,,0.0014003809340126386,0.06364915086277607,176,1,2.3315549840168153,TrialState.COMPLETE
18,32,False,"[64, 96]","[7, 5]",25,0.16086229584075595,,0.0016275598517848887,0.07040825254844343,176,1,2.8908173368232606,TrialState.COMPLETE
19,32,True,"[96, 128]","[7, 5]",23,0.130277446632335,,0.002707639510545757,0.0540793336308273,191,1,2.4565651456058952,TrialState.COMPLETE
20,32,True,"[96, 128]","[7, 5]",23,0.12754128138198995,,0.0029189984278688978,0.05393719480566196,196,1,2.6841112995408283,TrialState.COMPLETE
21,32,True,"[96, 128]","[7, 5]",25,0.16992933903247515,,0.0019032979393512213,0.002964930122225984,172,1,2.6222889842767763,TrialState.COMPLETE
22,32,True,"[96, 128]","[7, 5]",23,0.11465867708733135,,0.001382132688308672,0.053229604346477416,143,1,2.14167637309486,TrialState.COMPLETE
23,32,True,"[96, 128]","[7, 5]",22,0.11817485900895891,,0.002297606224761715,0.04197521694019266,144,1,2.5486785494006594,TrialState.COMPLETE
24,32,True,"[96, 128]","[7, 5]",23,0.1910402407527973,,0.0008787954969477416,0.06945298821779446,133,1,2.304808015420277,TrialState.COMPLETE
