trial_number,batch_size,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,128,0.051788711006337314,8,133,0.0011835243093739705,2,mean,10.30168444739079,TrialState.COMPLETE
1,32,0.2787108807113475,11,177,0.001553392347521983,1,mean,6.730905723445408,TrialState.COMPLETE
2,32,0.22449412800408924,16,241,0.0020563897336474527,2,mean,1.9982782940235329,TrialState.COMPLETE
3,32,0.20173117880452834,25,238,0.00020296757438979126,1,mean,10.719971345322302,TrialState.COMPLETE
4,32,0.07524632864470679,12,171,0.002446119636284112,3,mean,1.4575834889652384,TrialState.COMPLETE
5,32,0.0007365283230378438,24,188,0.0006752237449096282,1,mean,4.504198023533721,TrialState.COMPLETE
6,32,0.10274020600794721,20,158,0.0005660517815941778,3,max,3.3949731466722937,TrialState.COMPLETE
7,64,0.2691565622103618,14,194,0.00026459192537427374,1,mean,10.893414220925957,TrialState.COMPLETE
8,32,0.07025394202948276,17,241,0.00012362517324482773,2,last,10.29649451888561,TrialState.COMPLETE
9,128,0.187683046240538,17,106,0.00010245318086801096,2,last,30.29162457728621,TrialState.COMPLETE
10,64,0.13348912838665195,11,75,0.002901519246408316,3,max,5.805696504981895,TrialState.COMPLETE
11,32,0.2153156103094326,15,214,0.002600162588894908,3,mean,3.0633616889524014,TrialState.COMPLETE
12,32,0.14673763485049182,12,146,0.0013870965441539608,3,mean,2.297320887045743,TrialState.COMPLETE
13,32,0.030273046582348265,19,216,0.0020040060429348935,2,mean,1.5815374663428903,TrialState.COMPLETE
14,128,0.0034979028648925437,20,215,0.000898387599142028,2,max,2.496087159340624,TrialState.COMPLETE
15,64,0.04887341801915293,21,122,0.00034662801412710446,3,last,6.859801815717983,TrialState.COMPLETE
16,32,0.09004124454888422,9,208,0.0018424415480356887,2,mean,4.269336692516459,TrialState.COMPLETE
17,32,0.033348196457390664,13,169,0.0009278277565876788,3,mean,3.9246720146616654,TrialState.COMPLETE
18,64,0.10945823709740875,18,199,0.00039300082985313566,2,last,6.53550472117106,TrialState.COMPLETE
19,128,0.02735918328736909,22,224,0.0022592767393433077,3,max,2.053808916469264,TrialState.COMPLETE
