trial_number,colsample_bytree,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,value,state
0,0.9349320199447393,0.07261993731971005,6,434,0.000733756195505639,0.014955237132960542,0.7257227483892188,1.0,TrialState.COMPLETE
1,0.6490966772466188,0.1452103554981448,6,892,2.519617090514648e-08,3.759748696515231,0.7518290788652671,1.0,TrialState.COMPLETE
2,0.665973568634968,0.19913075150351384,6,366,0.01761869817593263,0.7791353285798581,0.9891230159395794,0.993103448275862,TrialState.COMPLETE
3,0.851336724039565,0.092416542294192,3,872,0.0008848779644080799,1.886762226334013,0.7263037778047587,0.993103448275862,TrialState.COMPLETE
4,0.7605156602011351,0.012404843309737354,4,874,0.0004181668307871415,0.0017408477193369147,0.784899503474651,1.0,TrialState.COMPLETE
5,0.8464852261667684,0.008947810041719028,6,770,0.0016985103547026749,0.01040118042954008,0.802929495253841,0.993103448275862,TrialState.COMPLETE
6,0.6831868364573228,0.018865877383785142,3,824,0.011350459003604344,0.5944798478014975,0.608160712953818,1.0,TrialState.COMPLETE
7,0.7058221157051836,0.019613778440642295,8,774,2.377078245151788e-06,4.793415957445643,0.771955673477108,0.993103448275862,TrialState.COMPLETE
8,0.969970285929426,0.03463729529966023,4,478,6.658141952252976e-08,2.1869957071485717,0.9968141943140201,1.0,TrialState.COMPLETE
9,0.7171718874018844,0.016368907892370037,3,894,0.010355913735200043,0.026513924947234053,0.6018531629779098,0.993103448275862,TrialState.COMPLETE
10,0.9812422612103968,0.05434532731216742,8,570,1.5318488398444322e-05,0.12087198578165351,0.8545447672833606,1.0,TrialState.COMPLETE
11,0.6025532493452992,0.13673319852556573,7,656,1.2971923348863695e-08,0.08760777149747495,0.697392491352619,0.993103448275862,TrialState.COMPLETE
12,0.9042310172114771,0.07226556922143662,5,986,8.173213437084501e-07,0.002482011245974185,0.8783433334140766,0.993103448275862,TrialState.COMPLETE
13,0.8014497572599226,0.04247937896291494,7,355,6.580297571076811e-05,0.010998453226033506,0.6919669748766347,0.993103448275862,TrialState.COMPLETE
14,0.6001252206726007,0.10265790698876795,5,656,3.431599296957207e-07,0.19266057772763978,0.672839603251871,1.0,TrialState.COMPLETE
15,0.913197401626582,0.18983780888414759,7,494,3.052926378739927e-05,8.842732299687112,0.8538749120490599,0.993103448275862,TrialState.COMPLETE
16,0.776697917316007,0.005508283468324872,6,985,0.00013608203097979093,0.021795661860312975,0.7546805452651895,1.0,TrialState.COMPLETE
17,0.9108423154771225,0.06038468294830575,5,446,0.09685199550350135,0.005683296830550887,0.9057613059389278,1.0,TrialState.COMPLETE
18,0.649107733615331,0.11388844240884516,7,576,4.567231651413037e-06,0.052056401531209155,0.657134248842372,0.993103448275862,TrialState.COMPLETE
19,0.8430403772534512,0.028500986181410323,6,717,1.239917917809088e-08,0.3955804772403219,0.7279942580293758,1.0,TrialState.COMPLETE
