trial_number,colsample_bytree,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,value,state
20,0.953079365734887,0.14457145033457605,4,301,8.517446242931275e-08,0.03910299790962567,0.823121348293504,0.9862068965517241,TrialState.COMPLETE
21,0.7591998344249895,0.011385320964606555,4,928,0.00033094400861604934,0.001001964625615905,0.7720661669582491,1.0,TrialState.COMPLETE
22,0.7406431117723847,0.07374458163514735,5,810,0.0017600967596490412,0.0024342431262511055,0.7455093328739777,1.0,TrialState.COMPLETE
23,0.804085374178914,0.026805411386972428,4,703,0.0004798736906476176,0.003565570043616906,0.8037812679760235,1.0,TrialState.COMPLETE
24,0.6355853688812106,0.00598414051143374,6,549,8.568634929453496e-06,0.0011861301275665611,0.9363135840484149,0.993103448275862,TrialState.COMPLETE
25,0.7308607249680764,0.008847305414886706,5,893,0.003381555619308342,0.012185457794190575,0.7039331619854943,0.993103448275862,TrialState.COMPLETE
26,0.8787694625600311,0.04155530271263273,7,943,0.00012053489296617489,0.005028775651073419,0.647620125409617,0.993103448275862,TrialState.COMPLETE
27,0.8160942520981054,0.013978471770155513,6,855,0.0003824595179419738,0.1923512646813707,0.7695299272070328,0.993103448275862,TrialState.COMPLETE
28,0.766676975167448,0.13543121862496169,4,740,0.06545434432859487,0.00730973796336955,0.8261064442041998,0.993103448275862,TrialState.COMPLETE
29,0.6795763999973723,0.19674559447280324,6,623,0.0038985346471403165,0.0019500994580961399,0.9371115146428243,1.0,TrialState.COMPLETE
30,0.937793210392859,0.06821006076805443,5,442,4.9709565210222675e-05,2.0588394718546716,0.734182665943783,0.993103448275862,TrialState.COMPLETE
31,0.6789599908002202,0.020793189888704846,3,829,0.022380171229781858,0.6687110377221799,0.6020727583526705,0.993103448275862,TrialState.COMPLETE
32,0.7000002137058089,0.02232024522258636,3,811,0.01673593510810456,1.075595264913785,0.6301700153772035,1.0,TrialState.COMPLETE
33,0.6397772511063117,0.01189001586367684,3,929,0.0008956502908657379,4.171094004646451,0.7902743487985849,0.993103448275862,TrialState.COMPLETE
34,0.6738879882728754,0.008862765626479354,3,766,0.006299705575153512,0.45782939125924715,0.6741440153151259,0.993103448275862,TrialState.COMPLETE
35,0.6937804938086252,0.016739564531039485,4,844,0.001591430134211969,1.233574439667767,0.6318616894986228,0.993103448275862,TrialState.COMPLETE
36,0.6243761231818182,0.08766008002935861,3,794,0.00015913912787874837,4.363127487532058,0.7180903279050682,0.993103448275862,TrialState.COMPLETE
37,0.8342819326033647,0.047297319030479054,4,882,0.0009450982129625212,0.31720338176169344,0.7983936504040307,1.0,TrialState.COMPLETE
38,0.7295355788504432,0.007622313728321729,6,959,0.03153310257096443,2.9906624811709737,0.7621522030240945,0.993103448275862,TrialState.COMPLETE
39,0.6561564598810954,0.03559207211732867,5,386,9.053052160110342e-07,7.686274686295135,0.8451229735915177,0.993103448275862,TrialState.COMPLETE
