trial_number,colsample_bytree,learning_rate,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,value,state
27,0.9459209165668003,0.03571324960421403,370,100,1.2535094124248498e-05,1.0285279220682278e-07,0.7632753361810405,1.0,TrialState.COMPLETE
28,0.6949112061597452,0.023415283069771736,439,82,0.00023721789103900735,5.670202479453787e-07,0.7143222392818508,1.0,TrialState.COMPLETE
29,0.7467345826453049,0.052448353036647244,914,114,0.006583249866882333,0.0038040079034403727,0.854930638637073,1.0,TrialState.COMPLETE
30,0.8134796959744097,0.01659290383996173,471,54,1.1529423302426926e-08,1.2375623529321037e-08,0.9019974482420552,1.0,TrialState.COMPLETE
31,0.643221567651235,0.07306488174435859,529,39,3.7060481517243345e-07,0.0013088106723794235,0.9940775639437253,1.0,TrialState.COMPLETE
32,0.8717740745495931,0.1349991678733941,353,29,1.2538942301665983e-06,0.011698470605173825,0.9631706508028499,1.0,TrialState.COMPLETE
33,0.9524695439198743,0.0322418784687613,600,69,7.615108474795932e-06,0.00031425004971860897,0.9823697699434278,1.0,TrialState.COMPLETE
34,0.7857966597809016,0.056274731686705715,469,39,2.6216967344472415e-06,0.05376624637367025,0.9380004865410225,1.0,TrialState.COMPLETE
35,0.8214455950449913,0.07339738726987881,607,56,6.807022874926756e-08,0.0007151952396507432,0.9586559097737335,1.0,TrialState.COMPLETE
36,0.9050258908218414,0.018760029484439302,677,31,0.04455499163815779,3.427519520994527e-05,0.6427358319393888,1.0,TrialState.COMPLETE
37,0.70205711606857,0.011914112574663939,552,122,0.0008480908802114292,5.265422853480824e-06,0.9993085623107848,1.0,TrialState.COMPLETE
38,0.7444044397788706,0.008188897083312708,387,51,1.7886279882686517e-05,1.4189706533851764e-06,0.9056339348125132,1.0,TrialState.COMPLETE
39,0.785782247182695,0.14637304655812217,471,16,0.0001654708949813314,0.003924899216105352,0.7837033923796187,1.0,TrialState.COMPLETE
