trial_number,colsample_bytree,learning_rate,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,value,state
0,0.9144619534640773,0.04452521822212968,915,42,0.03696142275264609,0.0007400004205761995,0.8534852507990243,0.993103448275862,TrialState.COMPLETE
1,0.9715167915780853,0.01361605630269152,598,95,9.759023254973648e-06,0.0010068800143656206,0.7865156150704149,0.993103448275862,TrialState.COMPLETE
2,0.8867489907240649,0.015798167780185304,905,108,0.000566820210170544,2.4153873879446593e-06,0.9973375788023242,1.0,TrialState.COMPLETE
3,0.8920482291398868,0.018305816509665514,398,60,0.09225411484180591,7.907443441890742e-07,0.6532131672542959,0.993103448275862,TrialState.COMPLETE
4,0.6526003271332436,0.1739243476066042,349,81,0.000728611210916923,9.639504710539382e-08,0.7842583245540239,1.0,TrialState.COMPLETE
5,0.6444913610996232,0.023630834492827598,617,126,1.2334428760213642e-08,5.965884646103142e-06,0.6895890277413574,1.0,TrialState.COMPLETE
6,0.7904211972220505,0.06503684204423682,500,44,1.0085228025428317e-06,0.002277448176505529,0.9986839701821527,1.0,TrialState.COMPLETE
7,0.6704127880363906,0.04286871973097945,411,21,0.000371494649322524,0.00016445899839684827,0.7167370048365119,1.0,TrialState.COMPLETE
8,0.8068840233851937,0.02745596856648761,908,20,0.0006238834672793725,1.7489875153029833e-06,0.6793364781009863,1.0,TrialState.COMPLETE
9,0.8905566069837785,0.010719684365496302,850,47,8.003715421270528e-07,1.0995235178819951e-05,0.6361472488640935,1.0,TrialState.COMPLETE
10,0.7700593457412575,0.0060318351064359045,790,119,0.00287122482527811,0.5300726749335715,0.9742641298223261,1.0,TrialState.COMPLETE
11,0.7245980467639621,0.1745269248275121,740,92,6.813189604864296e-05,1.2298846535567404e-08,0.87279422209281,1.0,TrialState.COMPLETE
12,0.6131151145353282,0.19518782937761098,999,90,0.004013997034358658,2.6008115332634825e-08,0.7749362333437957,1.0,TrialState.COMPLETE
13,0.8441217346467029,0.1011976151081181,315,106,3.12256841768698e-05,1.5803184004373527e-07,0.90188176460003,1.0,TrialState.COMPLETE
14,0.9843949824538594,0.00801654739809769,688,74,0.006310865603304097,3.129089974249913e-07,0.9278469200853068,1.0,TrialState.COMPLETE
15,0.7212579839779973,0.10020491785321614,503,78,0.00039120020779013397,2.738608515551804e-05,0.8257433608164273,1.0,TrialState.COMPLETE
16,0.8379390235447839,0.01659319798392954,522,106,1.2449229156162314e-06,8.720899573514488e-08,0.7500058397995156,1.0,TrialState.COMPLETE
17,0.7170389573046679,0.04054462019004215,311,110,7.339987120770375e-05,0.035404614581078596,0.9402505301005584,1.0,TrialState.COMPLETE
18,0.9175250096359224,0.08047275194692463,777,62,0.0009927686937250986,1.8796955110815207e-06,0.8177939230928698,1.0,TrialState.COMPLETE
19,0.6008807443843412,0.01008516433868109,976,85,0.015702250578520923,7.129702263901309e-05,0.7253831830056188,1.0,TrialState.COMPLETE
20,0.6789748288135943,0.13854238953815073,421,64,6.886670273140729e-06,4.879624618506112e-08,0.6117292851356095,1.0,TrialState.COMPLETE
21,0.6363722119337895,0.02243703994473261,642,126,1.3182311026144525e-07,5.579661645201567e-06,0.691415600549705,1.0,TrialState.COMPLETE
22,0.6575598309652234,0.028838324030196736,578,118,3.6464976715497116e-08,5.156907978461617e-06,0.7507992241333387,1.0,TrialState.COMPLETE
23,0.7614010768302013,0.05817074779022235,714,127,0.00012910640754175006,4.450693811139183e-07,0.8514055708411135,1.0,TrialState.COMPLETE
24,0.8536538578467306,0.022197428406198573,836,105,0.0017656356418807528,2.481811383652317e-05,0.6006694531872565,1.0,TrialState.COMPLETE
25,0.6833386823673006,0.005192747878966497,646,98,2.3726858957915717e-08,1.6050489421520917e-06,0.6834166522898731,1.0,TrialState.COMPLETE
26,0.632449531912763,0.013522004558358619,571,116,1.880314231112287e-07,0.0001543378953561383,0.804432265417299,1.0,TrialState.COMPLETE
