trial_number,colsample_bytree,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,value,state
0,0.7910545365584869,0.05793789029798765,8,791,0.0021122370836400865,0.008068979190245953,0.6972949046897035,14.20057646964772,TrialState.COMPLETE
1,0.9778433300118954,0.008782443887800738,3,349,4.505486332824843e-07,0.08971325127596912,0.7552870622342891,17.680136290150063,TrialState.COMPLETE
2,0.7211513387919054,0.15773414560927304,4,910,5.117951939191875e-06,0.052268834001496074,0.6369957906720053,13.935697293555755,TrialState.COMPLETE
3,0.8595703921881916,0.03261267937873438,8,988,2.9452712996482312e-05,6.691950262811591,0.7373545926585502,13.754429329197013,TrialState.COMPLETE
4,0.8678333248082295,0.005156564470576373,7,987,0.008057275101365115,0.2949270362321742,0.9437410624793514,14.83680347327845,TrialState.COMPLETE
5,0.6395483465070917,0.018080607327787164,7,880,4.121474839446079e-05,0.00201609451860639,0.817254264203503,13.73552094106594,TrialState.COMPLETE
6,0.9108625802303965,0.0326584882627743,3,525,0.00014119307512895591,0.01249074652665822,0.7611389783263484,14.379606620066196,TrialState.COMPLETE
7,0.8239892727242065,0.029670213105158445,3,768,4.76390458439088e-08,0.0014378093487165445,0.8170114088616902,14.017191549506158,TrialState.COMPLETE
8,0.7888973145487477,0.008417344436673923,6,479,0.04593302123244182,0.0718579612160806,0.7902526257316016,15.462923066034241,TrialState.COMPLETE
9,0.7743756741275656,0.023094847415369758,7,547,3.606009016320372e-07,1.58896991377682,0.9968761851655068,13.980564796051752,TrialState.COMPLETE
10,0.600139984381567,0.08489355776104907,5,730,0.00026492308476688126,0.002546624792219731,0.8742328940338474,13.56416500436444,TrialState.COMPLETE
11,0.6142265724182914,0.11010723041122776,5,722,0.00042756506361855983,0.0013144049237172255,0.9031564489936,13.721647682122752,TrialState.COMPLETE
12,0.6015164941588205,0.12800246431539208,5,673,0.0006727746531102725,0.007762061733411938,0.896428341263085,13.697904351329223,TrialState.COMPLETE
13,0.6783683009937092,0.07299147083057134,5,632,0.0017142985296462903,0.007632950176118334,0.8873590794595771,13.492583886946527,TrialState.COMPLETE
14,0.6941819164338733,0.06980172080525074,5,598,0.061166907679853985,0.01090592958749067,0.8690650817159847,13.453537849356298,TrialState.COMPLETE
15,0.7033284836323814,0.05980094886303907,4,597,0.062068053280381355,0.02184724406060684,0.8582417271310718,13.40257942083672,TrialState.COMPLETE
16,0.7324908408032866,0.053467231924612016,4,414,0.07565564459990623,0.02209344456230829,0.8491914606863772,13.727091067476922,TrialState.COMPLETE
17,0.6762837718541589,0.0461780456698411,4,602,0.021600390393804163,0.35219132619408056,0.9553763173495091,13.573554952294876,TrialState.COMPLETE
18,0.7303433251913439,0.1800302823301641,6,459,0.007613733979578621,0.024339244594813833,0.8469112855370062,14.310256182432093,TrialState.COMPLETE
19,0.6690260002171455,0.09115676151676631,4,587,0.007485781253708335,0.2125456389948969,0.9385658025913022,13.424433827315935,TrialState.COMPLETE
20,0.6534675731576677,0.10023707669073025,4,321,0.004161848837403257,0.41958153505399143,0.9367958366867685,13.645432576514214,TrialState.COMPLETE
21,0.6974514295286883,0.07236732643046548,4,586,0.026642371265596414,0.1741682561631091,0.9800388597648931,13.4292608507345,TrialState.COMPLETE
22,0.7497660556718561,0.04309661843622777,4,567,0.015594128898959843,0.2274708201080033,0.9996480633026943,13.741760004365457,TrialState.COMPLETE
23,0.6999324446465767,0.0871730933888939,3,684,0.09633147259789601,1.0746453805582667,0.9565487512567624,13.50978411995445,TrialState.COMPLETE
24,0.6470905656037961,0.12890487521502159,4,489,0.016999840375388015,0.14898995906283566,0.9364224898026389,13.487825343439066,TrialState.COMPLETE
25,0.7577918301211225,0.059433797276937296,3,406,0.001460524967955221,0.7749857094904995,0.9073636325128237,14.118462323976882,TrialState.COMPLETE
26,0.7130619874851659,0.04238383055993746,4,644,0.004248033091843957,3.630666905905185,0.9697950837050563,13.57240995142898,TrialState.COMPLETE
27,0.666702672867622,0.19975530998861993,6,527,0.029439436078819915,0.03520423037241407,0.9200350021803119,14.577293903828439,TrialState.COMPLETE
28,0.8257047478727471,0.01821507811994472,4,608,5.0119386770335444e-05,0.13596561267770896,0.9810433314196573,14.521826266360288,TrialState.COMPLETE
