trial_number,colsample_bytree,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,value,state
29,0.6260874513869876,0.0663920682656302,5,715,0.0012295471634049687,0.004124833355107654,0.6001470856902384,13.366458625474566,TrialState.COMPLETE
30,0.6284216101969456,0.05556518896460737,5,813,0.0018240837402997377,0.003361988198900986,0.61710808221065,13.339471421414506,TrialState.COMPLETE
31,0.6372839290495537,0.05494885395524123,5,865,0.0012339728804754307,0.0038468591157182885,0.605878047950336,13.332489050519658,TrialState.COMPLETE
32,0.6269775113113953,0.0567358026314143,5,830,0.00013191423686016455,0.003866721153649265,0.6175407091147063,13.30403663355864,TrialState.COMPLETE
33,0.634692290244964,0.04025060811011874,6,835,0.00012170679273717456,0.00431672508240364,0.6064169403270178,13.381864408367965,TrialState.COMPLETE
34,0.626388654871466,0.025583102513072626,5,817,9.847346543503279e-06,0.003801981961290634,0.6670524190781453,13.447332431070437,TrialState.COMPLETE
35,0.6279576400645754,0.05512038372247709,5,938,0.0009166853995008135,0.004760950570751057,0.6072390549541248,13.180900766621804,TrialState.COMPLETE
36,0.652370055041194,0.03511276165048627,6,942,1.1557219260780557e-05,0.0024790565059946697,0.6877018266580132,13.34201403008205,TrialState.COMPLETE
37,0.9741587510283335,0.05176191947893115,5,887,1.6726739330561285e-06,0.001034842226264823,0.631959463912333,13.272435609076064,TrialState.COMPLETE
38,0.9778593388861085,0.04914579679951117,6,878,1.1984378536594236e-06,0.001071399272804735,0.6502536312560658,13.590654954769818,TrialState.COMPLETE
39,0.9368006714111067,0.019401182881293166,8,936,1.7790209076525878e-06,0.001688153720038303,0.7129405402764817,13.936350958976234,TrialState.COMPLETE
