trial_number,batch_size,bidirectional,epochs,fcn_channels,head_hidden,kernels,learning_rate,lstm_dropout,lstm_hidden,lstm_layers,value,state
0,128,True,14,"[64, 128, 64]",128,"[9, 5, 3]",0.0001414450916602546,0.060132019035580395,77,2,10.988862034175893,TrialState.COMPLETE
1,128,True,20,"[64, 128, 64]",,"[9, 5, 3]",0.0020512062067793574,0.2407822766334943,141,1,5.926205141500789,TrialState.COMPLETE
2,64,False,8,"[128, 256, 128]",128,"[11, 7, 5]",0.0005223888894605204,0.043799764339808575,132,2,4.023091184655614,TrialState.COMPLETE
3,32,False,11,"[64, 128, 64]",128,"[9, 5, 3]",0.0001739639259321554,0.14161036442707897,73,2,7.628912250381664,TrialState.COMPLETE
4,32,False,20,"[256, 256, 128]",128,"[9, 5, 3]",0.0006245527787914625,0.04399084050523083,166,1,3.114388109976107,TrialState.COMPLETE
5,128,False,8,"[256, 256, 128]",,"[9, 5, 3]",0.0002865318964925768,0.2920542647413465,243,2,17.0333311156827,TrialState.COMPLETE
6,64,True,9,"[64, 128, 64]",,"[7, 5, 3]",0.0003702338652599676,0.2987665224914519,179,1,10.043413150173507,TrialState.COMPLETE
7,64,True,11,"[128, 256, 128]",256,"[7, 5, 3]",0.0007114240614555237,0.10169738508405887,226,1,5.389530325050021,TrialState.COMPLETE
8,128,True,22,"[128, 256, 128]",128,"[11, 7, 5]",0.00010092856388122328,0.18836618513925316,209,1,7.5488309043494235,TrialState.COMPLETE
9,128,False,16,"[256, 256, 128]",,"[9, 5, 3]",0.0003064472509713453,0.0547042619126044,135,1,6.710128291306435,TrialState.COMPLETE
10,32,False,25,"[256, 256, 128]",256,"[7, 5, 3]",0.0012035531267914844,0.01559166986417132,184,1,4.065547093811246,TrialState.COMPLETE
11,64,False,19,"[128, 256, 128]",128,"[11, 7, 5]",0.0006851085061010509,0.008395341839183557,117,2,4.0959450464287555,TrialState.COMPLETE
12,32,False,15,"[256, 256, 128]",128,"[11, 7, 5]",0.0011103451946132615,0.08845037982336412,108,2,5.875216865595128,TrialState.COMPLETE
13,32,False,18,"[128, 256, 128]",128,"[11, 7, 5]",0.0005875688848558338,0.14296036787113167,162,2,4.244136355626591,TrialState.COMPLETE
14,64,False,23,"[256, 256, 128]",128,"[11, 7, 5]",0.0011354543596794,0.04730167166506567,195,1,5.518328730747274,TrialState.COMPLETE
15,32,False,13,"[128, 256, 128]",128,"[9, 5, 3]",0.0024654338399721356,0.1049488374529066,153,2,9.213022088379935,TrialState.COMPLETE
16,64,False,21,"[256, 256, 128]",256,"[11, 7, 5]",0.0004197493201400131,0.18946040680140033,106,1,3.3950192152330683,TrialState.COMPLETE
17,32,False,21,"[256, 256, 128]",256,"[11, 7, 5]",0.00040257940957316664,0.20942703894997694,87,1,2.8220718264451956,TrialState.COMPLETE
18,32,False,25,"[256, 256, 128]",256,"[9, 5, 3]",0.0002006885431207992,0.2150680293939839,91,1,2.743776040616211,TrialState.COMPLETE
19,32,False,25,"[256, 256, 128]",256,"[7, 5, 3]",0.00021873855986749867,0.23617822012702258,64,1,2.7426642631083804,TrialState.COMPLETE
20,32,False,25,"[256, 256, 128]",256,"[7, 5, 3]",0.00019564013842904022,0.26620924035115046,93,1,3.565297684619905,TrialState.COMPLETE
21,32,False,23,"[256, 256, 128]",256,"[7, 5, 3]",0.00022077762160329248,0.2142208441286869,70,1,5.417072906910537,TrialState.COMPLETE
22,32,False,24,"[256, 256, 128]",256,"[7, 5, 3]",0.00012881104903441883,0.21207085167165207,88,1,4.44888650057188,TrialState.COMPLETE
23,32,False,22,"[256, 256, 128]",256,"[7, 5, 3]",0.0002546515749305507,0.2395849446050004,66,1,5.621964546919634,TrialState.COMPLETE
24,32,False,25,"[256, 256, 128]",256,"[7, 5, 3]",0.00034181211113700697,0.16883894456347823,90,1,6.045942209929776,TrialState.COMPLETE
