trial_number,batch_size,channels,dropout,epochs,head_hidden,kernel_size,learning_rate,value,state
0,64,"[128, 128, 128]",0.298700572264329,25,219,5,0.00036406942825201313,7.423523408637167,TrialState.COMPLETE
1,32,"[128, 128, 128]",0.1910535639393464,22,138,7,0.0007996261993487518,7.072495940049841,TrialState.COMPLETE
2,64,"[64, 64, 128]",0.2067925927202265,14,212,7,0.0004312549389223889,12.947763987853511,TrialState.COMPLETE
3,128,"[64, 128, 128]",0.2834647556944595,18,247,3,0.0009686660293798026,12.54182455949891,TrialState.COMPLETE
4,128,"[64, 128, 128]",0.29315469101445335,24,242,5,0.0011489499760288012,6.996546574628605,TrialState.COMPLETE
5,32,"[64, 128, 128]",0.2529165933614037,9,160,3,0.000151382647397444,14.228622195251209,TrialState.COMPLETE
6,32,"[64, 128, 128]",0.10582358420150263,19,176,5,0.00028045659055438653,6.912796163164153,TrialState.COMPLETE
7,64,"[128, 128, 128]",0.06950816984532239,24,55,3,0.0004822643664113041,7.988129869439727,TrialState.COMPLETE
8,64,"[64, 128, 128]",0.2035288968927872,18,77,7,0.00029180882347140007,8.8233532457904,TrialState.COMPLETE
9,128,"[64, 128, 128]",0.06520607190190551,12,92,5,0.0016953649672091313,9.51936013964498,TrialState.COMPLETE
10,32,"[64, 64, 128]",0.00563341701523927,20,162,5,0.00010213423787635529,8.17335978160933,TrialState.COMPLETE
11,128,"[64, 128, 128]",0.1244833127386846,21,195,5,0.0028826720513447004,7.380231908860619,TrialState.COMPLETE
12,128,"[64, 128, 128]",0.13841859340644255,23,251,5,0.00020887486975067673,9.625468849553796,TrialState.COMPLETE
13,32,"[64, 128, 128]",0.0921430105873415,15,124,5,0.0008942081383092391,6.152256633807828,TrialState.COMPLETE
14,32,"[64, 128, 128]",0.08787764300901782,15,117,5,0.000691802934903638,6.54470476036854,TrialState.COMPLETE
15,32,"[64, 64, 128]",0.025659525777935413,15,129,5,0.0006552560486802403,6.835009702663051,TrialState.COMPLETE
16,32,"[64, 128, 128]",0.06013668143794171,11,107,5,0.0013614699527684424,7.614013260890194,TrialState.COMPLETE
17,32,"[64, 128, 128]",0.10319178404944246,16,34,5,0.0023689065256452067,6.886884924257188,TrialState.COMPLETE
18,32,"[64, 64, 128]",0.1707197300828266,13,115,3,0.0006795945976623537,10.028029260508237,TrialState.COMPLETE
19,32,"[128, 128, 128]",0.08923155085538048,9,81,7,0.0017039284625801716,7.237323596761325,TrialState.COMPLETE
20,32,"[64, 128, 128]",0.031887229456366566,16,114,5,0.0009090428394498088,8.70129221823344,TrialState.COMPLETE
21,32,"[64, 64, 128]",0.02535271802834091,15,137,5,0.0006355415271554778,8.803625521718887,TrialState.COMPLETE
22,32,"[64, 64, 128]",0.032295592560611715,14,135,5,0.0005558081430853705,8.097882368405894,TrialState.COMPLETE
23,32,"[64, 64, 128]",0.05120036752780356,11,121,5,0.0007742422747550888,7.451422474897934,TrialState.COMPLETE
24,32,"[64, 64, 128]",0.15757436680872386,18,157,5,0.0013063473861708614,6.896068956972963,TrialState.COMPLETE
