trial_number,attn_hidden,batch_size,bidirectional,epochs,head_dropout,head_hidden,hidden_size,learning_rate,lstm_dropout,num_layers,value,state
0,66,256,True,14,0.27384597254887943,128,252,0.00010150778350936718,0.08840767315205823,2,0.11577090130888008,TrialState.COMPLETE
1,116,512,True,16,0.06211836414913415,,210,0.0005441942000565121,0.13334061286232812,1,0.1290284791077473,TrialState.COMPLETE
2,93,512,False,14,0.2423621552263982,,229,0.0003965296118603018,0.07513693546286893,1,0.14481988644438207,TrialState.COMPLETE
3,109,128,True,17,0.16216208548519326,256,152,0.00010793099149057403,0.2676766588187639,1,0.12080287222259133,TrialState.COMPLETE
4,116,128,False,16,0.10871125563100116,,185,0.00034801058254566687,0.053969545833160916,2,0.08842279071775223,TrialState.COMPLETE
5,127,512,False,14,0.2234150792008087,,131,0.00016917264209389228,0.13334809629669148,2,0.18108815086602206,TrialState.COMPLETE
6,91,256,True,19,0.0719418663708526,,95,0.0010729090495873136,0.22321379650100753,2,0.07805090609346187,TrialState.COMPLETE
7,127,256,False,15,0.14984279803384679,,205,0.003232687071135839,0.27509347852782495,1,0.08961344308108139,TrialState.COMPLETE
8,70,128,True,15,0.21776346871428356,,102,0.0030158827083358376,0.1085965617117234,2,0.0774886350460661,TrialState.COMPLETE
9,82,128,True,9,0.12624559060218624,256,166,0.0015229636002518142,0.10960030567710662,2,0.07831079622612637,TrialState.COMPLETE
10,33,128,True,10,0.010665984902268472,128,82,0.004698173794772685,0.004957694271680205,2,0.08353831523142578,TrialState.COMPLETE
11,60,256,True,20,0.19567255158149147,,71,0.0013239026869586743,0.2038288705656696,2,0.08824779205626564,TrialState.COMPLETE
12,61,256,True,20,0.06942611005995095,,110,0.0016331321177812629,0.20022374532531273,2,0.07086296310614136,TrialState.COMPLETE
13,53,256,True,11,0.2962401659134129,,122,0.003013800980687097,0.18408651597880243,2,0.09950260442561229,TrialState.COMPLETE
14,36,128,True,19,0.023253293153368965,256,110,0.0022984539314291758,0.17099626553192787,2,0.04753517635732804,TrialState.COMPLETE
15,32,128,True,18,0.006096667803134441,256,121,0.0017779119125815263,0.17432202721052645,2,0.06538471412833285,TrialState.COMPLETE
16,32,128,True,18,0.0009732650895204944,256,141,0.0008453274169047067,0.16744352764656487,2,0.06728690689090552,TrialState.COMPLETE
17,45,128,True,12,0.03918155113857136,256,119,0.002098044599905555,0.24366778371312514,1,0.0708434009526576,TrialState.COMPLETE
18,43,128,False,19,0.035112523336130096,256,178,0.004747549685006988,0.29931506857997037,2,0.05363073863849395,TrialState.COMPLETE
19,45,128,False,19,0.09493392378250141,256,174,0.004764057268799726,0.2924545779850052,2,0.07330569692687312,TrialState.COMPLETE
20,44,128,False,18,0.036759582393315324,256,197,0.002350855661833339,0.23815989492492584,1,0.06990303579597011,TrialState.COMPLETE
21,39,128,False,18,0.03340182544882863,256,150,0.004911053751692395,0.1580721276170848,2,0.06779734632271528,TrialState.COMPLETE
22,51,128,False,20,0.015826290926256686,256,136,0.0021322527125025477,0.2987657333420952,2,0.07176354658425645,TrialState.COMPLETE
23,32,128,False,17,0.04996130800032797,256,89,0.0033176741709292587,0.2136245804201022,2,0.06708329431140744,TrialState.COMPLETE
24,53,128,True,19,0.09481554418384402,256,162,0.0010540350309024202,0.1805893098746454,2,0.05289312592007185,TrialState.COMPLETE
