trial_number,attn_hidden,batch_size,bidirectional,epochs,head_dropout,head_hidden,hidden_size,learning_rate,lstm_dropout,num_layers,value,state
0,52,64,False,15,0.16319392577829597,128,76,0.00021481683916859445,0.026332790574672704,2,10.755402737662425,TrialState.COMPLETE
1,83,128,False,11,0.2079885524784681,128,107,0.0006366315264597742,0.19471320731059222,1,11.99525993825595,TrialState.COMPLETE
2,55,128,False,22,0.2937780662063832,,78,0.002020349318648497,0.11846712211718162,1,9.73377305522504,TrialState.COMPLETE
3,72,32,True,19,0.19954725899415454,128,218,0.0002717877752819675,0.16818848605296252,2,11.673459355320192,TrialState.COMPLETE
4,59,128,True,13,0.1824791527914401,,191,0.00012382960618650079,0.08070466872978134,1,30.45188936532459,TrialState.COMPLETE
5,61,64,False,12,0.16202406863227242,,128,0.0015293550169831547,0.08069728837404119,2,10.05231562265339,TrialState.COMPLETE
6,114,64,False,21,0.09671436313875999,128,76,0.0010521390156192272,0.16815384300847439,2,6.038199892407822,TrialState.COMPLETE
7,110,128,False,22,0.2649534836569494,64,235,0.0014227822920206787,0.013193301037595884,1,10.81245731058679,TrialState.COMPLETE
8,104,64,True,23,0.25245285467165773,128,97,0.0015516126098916953,0.21939425406716015,1,10.897143390348877,TrialState.COMPLETE
9,71,32,False,22,0.14194127742130022,,206,0.00047092916691324904,0.17400736239761905,2,4.548132024615169,TrialState.COMPLETE
10,33,32,True,8,0.0019640154827863243,64,168,0.0004469048858907797,0.299081271564828,2,10.826899647703645,TrialState.COMPLETE
11,127,32,False,19,0.08377669687913578,,146,0.0006996480703917989,0.24396167053583973,2,4.77790226638623,TrialState.COMPLETE
12,127,32,False,25,0.08713430673092819,,147,0.0006348201309266885,0.2536704883396468,2,4.241762817931817,TrialState.COMPLETE
13,89,32,False,24,0.09283804643298797,,198,0.0003714293519316739,0.2726692324141668,2,5.907666556213569,TrialState.COMPLETE
14,95,32,False,25,0.03620088943006877,,165,0.0008393030005652549,0.23932379067268225,2,2.690821879025729,TrialState.COMPLETE
15,96,32,False,25,0.015126475999311065,,171,0.000795047557184296,0.24332893226304558,2,2.883418487291008,TrialState.COMPLETE
16,97,32,False,19,0.009560287850708383,,173,0.0008889447065155443,0.21621919786389251,2,4.244662579716957,TrialState.COMPLETE
17,95,32,False,17,0.03790442020815843,64,255,0.0024722897929154246,0.2938945836744937,2,3.7560287334249023,TrialState.COMPLETE
18,76,32,True,25,0.05514978204003723,,179,0.0009487661175903087,0.1329886303669197,2,1.873535219877996,TrialState.COMPLETE
19,77,32,True,20,0.055726160040263005,,132,0.0011329631863396645,0.10980092663043961,2,3.1996417202651806,TrialState.COMPLETE
20,37,32,True,17,0.1263688624866168,64,232,0.002802696496849259,0.13302331262037517,1,5.9427919596461365,TrialState.COMPLETE
21,90,32,True,25,0.045746582468918606,,179,0.0008206330632988567,0.21652486758825132,2,4.564014967135763,TrialState.COMPLETE
22,105,32,True,25,0.028378811626381957,,154,0.0010475537041322004,0.2507766537485845,2,2.6664929532055077,TrialState.COMPLETE
23,114,32,True,23,0.05934328045895434,,155,0.0011093246184979656,0.1479914837443339,2,2.4159048019562936,TrialState.COMPLETE
24,117,32,True,23,0.06663897968938731,,148,0.00112944394205934,0.08467039452316236,2,2.8000237838552424,TrialState.COMPLETE
