trial_number,batch_size,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,256,0.21210020295393398,15,195,0.0026173550021394575,2,mean,0.06954157583843784,TrialState.COMPLETE
1,128,0.01754338164657986,14,73,0.003854213553202585,3,max,0.05730615327932804,TrialState.COMPLETE
2,512,0.06997263955991635,13,199,0.0002186322806541536,3,max,0.08794869517848863,TrialState.COMPLETE
3,128,0.16853838420747996,14,218,0.00020136813006133329,3,last,0.06363738301760385,TrialState.COMPLETE
4,128,0.28896906833976016,15,84,0.002989064645485302,1,mean,0.11176165027155656,TrialState.COMPLETE
5,128,0.14716851345447754,12,155,0.0009480023324119675,1,mean,0.09974441070511111,TrialState.COMPLETE
6,256,0.05800380675965284,15,163,0.0017471283897566505,2,last,0.07373891870443695,TrialState.COMPLETE
7,256,0.08729341748326686,17,97,0.00021464371629929124,2,max,0.08319607870505127,TrialState.COMPLETE
8,256,0.010401476026283284,12,96,0.00011440061652051741,3,last,0.15858393037396812,TrialState.COMPLETE
9,512,0.19477409641569102,17,241,0.003797963921441165,3,mean,0.09350850870945901,TrialState.COMPLETE
10,128,0.002804520987145953,8,67,0.0006880747236783924,3,max,0.055863948031282515,TrialState.COMPLETE
11,128,0.0008609361943664878,10,68,0.0006655380189525206,3,max,0.05832451516190375,TrialState.COMPLETE
12,128,0.03870396789257841,8,115,0.0007300843715553566,3,max,0.07890883266830181,TrialState.COMPLETE
13,128,0.11332884896747583,8,129,0.001392644378244762,2,max,0.07002130117799679,TrialState.COMPLETE
14,128,0.03011608805621422,20,75,0.0003859257950887937,3,max,0.04039421391175721,TrialState.COMPLETE
15,128,0.10662513303591367,20,130,0.00039057753264887344,2,max,0.04598060314666652,TrialState.COMPLETE
16,512,0.11466032205534832,20,140,0.0003653775797641848,1,max,0.08609848495364264,TrialState.COMPLETE
17,128,0.10288394072115646,20,115,0.00037812856492478716,2,max,0.0450889858437539,TrialState.COMPLETE
18,128,0.04632405398065606,18,110,0.00038547976314663057,2,max,0.047535984532085636,TrialState.COMPLETE
19,512,0.2512563645033473,19,168,0.00010749894893877945,2,last,0.15322763229468905,TrialState.COMPLETE
