trial_number,colsample_bytree,learning_rate,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,value,state
13,0.762551515347629,0.10373690005235542,564,126,0.09668451309717369,0.00018274926912989912,0.9951278887191999,0.013524131324813912,TrialState.COMPLETE
14,0.7784193197901651,0.09888578219854413,470,109,1.2829919183295267e-08,3.842984680163641e-05,0.9929980042570143,0.015090941473373668,TrialState.COMPLETE
15,0.7526019056919373,0.10512901764168738,565,127,0.01395041650130407,0.00018514643002942043,0.7009292548538764,0.013565422228966771,TrialState.COMPLETE
16,0.8378349225615722,0.09869432612036262,323,79,0.005405317547751415,6.962591839461776e-05,0.706520259612927,0.02098645246111546,TrialState.COMPLETE
17,0.7567084879510743,0.09691436674049539,843,105,0.011304034380010024,1.3764130654925834e-08,0.6945859608985797,0.013053811518317245,TrialState.COMPLETE
18,0.922016914740898,0.06230260529113217,849,105,0.00010544746598982389,1.1165047081149341e-08,0.9676437279516672,0.015039064914778301,TrialState.COMPLETE
19,0.7558681903676886,0.020710881948646512,838,103,0.011326865474969168,9.842695417085289e-06,0.7631203679448064,0.02427128964757634,TrialState.COMPLETE
20,0.83702382476699,0.11556843015036163,820,79,3.930555063468091e-05,5.8126865553337754e-08,0.6558784676230796,0.014875449858850871,TrialState.COMPLETE
21,0.763726617325501,0.11538508614406019,496,124,0.01851365970610353,0.002676099611927669,0.6662369384900755,0.014197530337507836,TrialState.COMPLETE
22,0.7319221104497785,0.07784082531289958,571,115,0.019770226929239115,2.5918213872282072e-05,0.7015444224041483,0.014563231813382333,TrialState.COMPLETE
23,0.7472743962584598,0.053666536168757564,385,114,0.0019609801977224168,0.00019462347486780374,0.7575058488417499,0.020381802090459367,TrialState.COMPLETE
24,0.6416078716644047,0.13304794884524032,642,98,0.02122048520661802,8.966399190769798e-07,0.6953319543503714,0.013586616019356445,TrialState.COMPLETE
25,0.7884780822461047,0.08216407589351404,785,123,0.004296295279171702,0.00019587311757512008,0.9462016569658233,0.01394856050510954,TrialState.COMPLETE
26,0.8198517959059305,0.051037326232292,404,127,0.027402924865329206,0.0030576396474336427,0.733777722391093,0.01922520779069133,TrialState.COMPLETE
27,0.8617250213442937,0.14286487502560524,539,111,0.0010535586485414447,5.6751835296681135e-06,0.661243615234883,0.014977932330065313,TrialState.COMPLETE
28,0.7275052192125472,0.046309274412253375,681,117,0.09064219482931624,3.194476290237952e-07,0.7747843028959558,0.016035796204510476,TrialState.COMPLETE
29,0.6622900508347092,0.08719958754772972,604,87,2.1881310100337664e-05,0.03592742670989159,0.6369524556494867,0.015190028034069825,TrialState.COMPLETE
30,0.8087907305889379,0.13558478727103657,712,69,0.007962803107553236,1.1277002166396439e-05,0.6836170745438988,0.016133911810362663,TrialState.COMPLETE
31,0.6405075478573019,0.1469610880622189,627,101,0.03473006514610637,1.1770775321726712e-08,0.7254865125935106,0.013882888658894222,TrialState.COMPLETE
32,0.6643597589656949,0.11771349962153062,532,95,0.01620535844808361,1.1522854812874249e-06,0.6927817946098207,0.014401279075684063,TrialState.COMPLETE
33,0.7127959572651184,0.02225194123157501,893,107,0.0029585484890271474,5.762870458898664e-08,0.636510943572345,0.021470591882973993,TrialState.COMPLETE
34,0.7677576729720422,0.06984099100303719,687,90,4.218964414662122e-06,4.0041860220663463e-07,0.7936430149426537,0.015505068904743572,TrialState.COMPLETE
35,0.6348971344045107,0.14947277014001856,775,100,0.010065416761617643,0.00017528924633864528,0.7120552422347577,0.013536898688431517,TrialState.COMPLETE
36,0.736032890559288,0.02784579402632723,776,119,0.0001432514284604223,0.00015552526315564677,0.8184301799462497,0.019753507167946056,TrialState.COMPLETE
37,0.9046782715006656,0.01562528782997916,873,76,0.007744216647597269,0.008183012880386463,0.7436760850614064,0.04060813353813764,TrialState.COMPLETE
38,0.9845665536857513,0.09700310517257539,768,84,0.0015036471212856175,0.0019152434658249158,0.7197256087032164,0.015104062704403292,TrialState.COMPLETE
39,0.7072330522609099,0.16208747632238998,732,110,0.00045319919416365103,2.2720584493075484e-05,0.7901730031869281,0.014183987106765734,TrialState.COMPLETE
