trial_number,colsample_bytree,learning_rate,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,value,state
0,0.6881809626302762,0.16929533315613066,712,57,1.1758193698201475e-05,0.0194704913246345,0.6279002073053467,0.015660712160050157,TrialState.COMPLETE
1,0.7057632660998484,0.02069648978802875,470,86,0.00031249102054576087,5.3419078428895005e-06,0.8660512372773602,0.0470282435089708,TrialState.COMPLETE
2,0.8689717049176888,0.03419937193894167,741,40,2.063530183650005e-06,1.2542428784137492e-06,0.8837421030439886,0.045892208515245246,TrialState.COMPLETE
3,0.7243410805643359,0.03628096021510735,966,96,0.0020705156570356097,0.25263845713281213,0.7991137159444452,0.01680090571685239,TrialState.COMPLETE
4,0.897714779856684,0.013385737917546074,736,24,5.831998957572042e-07,0.007869464961214509,0.8351089042181272,0.1179521592624607,TrialState.COMPLETE
5,0.9692394383743111,0.005442884673897098,921,48,5.226293362826332e-07,0.3204366332954792,0.8118084955996799,0.1071270493802495,TrialState.COMPLETE
6,0.6200312323827797,0.0062026336452804896,946,93,0.004803915987430361,0.07107862019599144,0.7365657421327529,0.06116151484983548,TrialState.COMPLETE
7,0.8176089271851867,0.06705323103122705,537,48,0.00021688650104109488,9.101471085451691e-08,0.854656037234749,0.02843654407914976,TrialState.COMPLETE
8,0.7903797218551349,0.03629885023311691,994,42,0.0005139712600161418,1.2420120617355121e-06,0.8905923330654035,0.03211110084879754,TrialState.COMPLETE
9,0.6061512171286242,0.056601060216393134,319,62,0.0008756528709745054,0.7730827733869419,0.911422207615019,0.03937937652779787,TrialState.COMPLETE
10,0.6893593903457143,0.19402717022498003,647,116,0.080785762304209,0.0006517626800117024,0.6124329745726327,0.014754094142006935,TrialState.COMPLETE
11,0.6940104768945126,0.1826023551707931,652,124,0.049672379598477256,0.0007642679158615527,0.6035851333411693,0.014046084665886992,TrialState.COMPLETE
12,0.6653924829647759,0.18669685138529718,595,124,0.0878591482040608,0.0005652331772362826,0.6022850919374279,0.01368747317858485,TrialState.COMPLETE
