trial_number,batch_size,d_ff,d_model,dropout,epochs,head_hidden,learning_rate,lstm_hidden,lstm_layers,n_attn_layers,n_heads,value,state
0,256,169,182,0.2672114687137003,24,128,0.0004893334802745366,176,1,3,4,,TrialState.PRUNED
1,256,430,122,0.05103779454075461,24,,0.0005081429796004826,169,1,2,2,0.06334200682756282,TrialState.COMPLETE
2,512,344,67,0.15422916772101566,12,256,0.0012467196904274377,134,1,1,4,,TrialState.PRUNED
3,512,246,135,0.09663494398847174,10,256,0.0017073898265527767,204,2,1,2,,TrialState.PRUNED
4,128,163,76,0.036356432742750064,17,128,0.001856863286779949,203,1,3,8,,TrialState.PRUNED
5,128,129,110,0.1518750388944828,18,,0.001561819721705528,142,2,1,4,,TrialState.PRUNED
6,512,495,192,0.08072894543673975,10,,0.001180585967025456,254,1,2,2,0.11555561854725213,TrialState.COMPLETE
7,128,467,123,0.16774215943410617,13,,0.00073997800070368,229,1,2,8,,TrialState.PRUNED
8,512,164,72,0.02122230793709833,16,128,0.0014916127841298832,161,2,1,4,0.06737504444403943,TrialState.COMPLETE
9,256,219,174,0.09268787085478085,24,128,0.00034124598252323123,242,1,2,8,,TrialState.PRUNED
10,256,400,156,0.2355859457769423,21,,0.00012429961039564088,108,2,3,2,0.08405297549348226,TrialState.COMPLETE
11,256,310,93,0.029606094176099065,17,128,0.004978278734172347,168,2,1,2,,TrialState.PRUNED
12,512,424,97,0.004957916789370142,20,,0.00021292129483125167,65,2,2,4,,TrialState.PRUNED
13,256,317,141,0.06300559057527262,15,128,0.0038834965217475954,114,2,1,4,,TrialState.PRUNED
14,512,397,87,0.11686293432558975,21,256,0.0007261721815804045,191,1,2,2,,TrialState.PRUNED
15,512,268,114,0.017827937230367494,25,,0.0003447207447644052,141,2,1,2,0.06391664319644627,TrialState.COMPLETE
16,256,264,116,0.059085388633309886,25,,0.0002554675383558019,88,1,3,2,0.07289918054086104,TrialState.COMPLETE
17,512,361,150,0.19323931732436772,23,,0.00015768704588066079,140,2,2,2,0.0683592353546896,TrialState.COMPLETE
18,256,285,106,0.0016177155071912183,22,,0.0003269155337624624,123,1,2,2,0.044151801196682036,TrialState.COMPLETE
19,256,460,97,0.1231625939253915,22,,0.0004913018875060347,106,1,2,2,,TrialState.PRUNED
20,256,509,127,0.05470654438229405,19,,0.00010770410545516653,83,1,3,2,,TrialState.PRUNED
21,256,268,111,0.0027590126898758473,25,,0.0003879143166537453,130,1,2,2,,TrialState.PRUNED
22,256,283,106,0.03731879449153827,23,,0.0002587378992455747,157,1,1,2,0.059922644023983784,TrialState.COMPLETE
23,256,293,105,0.03943889247670458,22,,0.00021293076655691658,184,1,2,2,,TrialState.PRUNED
24,256,367,83,0.07130639473172304,23,,0.0005497180314531245,153,1,2,2,,TrialState.PRUNED
25,256,238,124,0.0005278992615864314,20,256,0.0002613152000833604,120,1,1,8,,TrialState.PRUNED
26,256,331,138,0.10687881025378837,23,,0.0009362063661483051,156,1,2,2,0.0700218198979472,TrialState.COMPLETE
27,128,212,102,0.04757863909105618,22,,0.00014787009535426022,217,1,3,2,0.05512019961593431,TrialState.COMPLETE
28,128,208,103,0.2943986369308942,21,,0.000150788687892566,222,1,3,2,,TrialState.PRUNED
29,128,197,85,0.20776169107735093,19,256,0.00016025018879856586,179,1,3,8,,TrialState.PRUNED
