trial_number,max_depth,n_estimators,value,state
0,,292,4.316348803462602,TrialState.COMPLETE
1,16,689,5.082068613660745,TrialState.COMPLETE
2,,406,4.28247159823039,TrialState.COMPLETE
3,20,281,4.542331911099442,TrialState.COMPLETE
4,12,541,7.33023967607453,TrialState.COMPLETE
5,,520,4.301665997660669,TrialState.COMPLETE
6,,567,4.282846059199642,TrialState.COMPLETE
7,16,474,5.117967654008477,TrialState.COMPLETE
8,16,303,5.17494137418558,TrialState.COMPLETE
9,20,364,4.545811189719203,TrialState.COMPLETE
10,8,783,12.488814250130131,TrialState.COMPLETE
11,,428,4.315573142595486,TrialState.COMPLETE
12,,563,4.253235635412512,TrialState.COMPLETE
13,,668,4.286969021732854,TrialState.COMPLETE
14,12,211,7.3170321418979976,TrialState.COMPLETE
15,8,621,12.469301717163063,TrialState.COMPLETE
16,,410,4.2966929009354855,TrialState.COMPLETE
17,,475,4.281716555660166,TrialState.COMPLETE
18,,607,4.286966071984488,TrialState.COMPLETE
19,8,471,12.536571582176968,TrialState.COMPLETE
20,20,662,4.518671212595349,TrialState.COMPLETE
21,,421,4.324927680324325,TrialState.COMPLETE
22,,347,4.298462418895812,TrialState.COMPLETE
23,,497,4.288975581847013,TrialState.COMPLETE
24,,568,4.27009894763109,TrialState.COMPLETE
25,12,571,7.289042713463367,TrialState.COMPLETE
26,,734,4.267193336384464,TrialState.COMPLETE
27,,751,4.277270104950292,TrialState.COMPLETE
28,,722,4.305411772329253,TrialState.COMPLETE
29,,613,4.31946993631483,TrialState.COMPLETE
