trial_number,max_depth,n_estimators,value,state
0,,852,2.527829198351488,TrialState.COMPLETE
1,8,960,13.305840501555727,TrialState.COMPLETE
2,20,612,2.8800599647930767,TrialState.COMPLETE
3,8,946,13.302884647191162,TrialState.COMPLETE
4,8,890,13.298816142416287,TrialState.COMPLETE
5,20,943,2.9072530042253497,TrialState.COMPLETE
6,,957,2.5018973195974534,TrialState.COMPLETE
7,,676,2.5253001880212467,TrialState.COMPLETE
8,20,313,2.8934498846102983,TrialState.COMPLETE
9,20,901,2.8781853164781945,TrialState.COMPLETE
10,12,730,7.661464558855473,TrialState.COMPLETE
11,,531,2.5591361470717384,TrialState.COMPLETE
12,16,743,4.101613793289228,TrialState.COMPLETE
13,,473,2.5275012934058427,TrialState.COMPLETE
14,,785,2.511094149708398,TrialState.COMPLETE
15,,809,2.5381529348113014,TrialState.COMPLETE
16,16,790,4.101732813513349,TrialState.COMPLETE
17,12,615,7.600627120974424,TrialState.COMPLETE
18,,988,2.5039917227263193,TrialState.COMPLETE
19,,988,2.5106731721761086,TrialState.COMPLETE
20,,323,2.553088862495269,TrialState.COMPLETE
21,,989,2.5193595382225817,TrialState.COMPLETE
22,,992,2.5153268669708826,TrialState.COMPLETE
23,,881,2.5204483252513423,TrialState.COMPLETE
24,,838,2.5314468870208544,TrialState.COMPLETE
25,12,997,7.645472223135791,TrialState.COMPLETE
26,16,914,4.145654749410453,TrialState.COMPLETE
27,,927,2.5226491643638225,TrialState.COMPLETE
28,,858,2.5137425423509265,TrialState.COMPLETE
29,,835,2.55278505386036,TrialState.COMPLETE
