trial_number,batch_size,d_ff,d_model,epochs,learning_rate,n_heads,num_layers,patch_len,stride,use_cls_token,value,state
0,128,354,167,18,0.00038158942277759656,8,6,5,3,False,0.09713793055457719,TrialState.COMPLETE
1,256,494,167,12,0.00013903239534662345,4,3,7,1,False,0.1284141685010567,TrialState.COMPLETE
2,512,137,72,20,0.0013378523265021522,8,4,11,3,True,0.10441541971280045,TrialState.COMPLETE
3,256,340,164,17,0.0010971098540883055,4,2,5,2,False,0.07077447139310315,TrialState.COMPLETE
4,128,398,115,15,0.001385811555179715,4,6,8,6,True,0.1889097838311849,TrialState.COMPLETE
5,512,142,124,15,0.002881993977633233,8,2,11,6,True,0.15785748199487798,TrialState.COMPLETE
6,256,163,184,14,0.0010436698102657038,4,5,6,1,False,0.11170608375345709,TrialState.COMPLETE
7,512,171,64,20,0.00024355945672748758,8,3,8,6,False,0.15677291273615787,TrialState.COMPLETE
8,128,457,93,16,0.002101438151621675,4,2,5,2,False,0.10034181079725182,TrialState.COMPLETE
9,256,173,146,8,0.0002027242675460918,4,6,7,4,True,0.11097343309495726,TrialState.COMPLETE
10,256,262,151,11,0.0005299300492406059,4,3,4,4,False,0.11587557768754873,TrialState.COMPLETE
11,128,338,192,18,0.00048322156632853007,8,5,4,3,False,0.10091266990262446,TrialState.COMPLETE
12,128,299,159,18,0.0003676161173747546,8,5,6,2,False,0.07292411402862808,TrialState.COMPLETE
13,256,266,145,17,0.004785459878278511,8,4,6,2,False,0.2475737467384994,TrialState.COMPLETE
14,128,267,164,18,0.0008004727412821046,8,5,9,2,False,0.08366475443189227,TrialState.COMPLETE
15,128,393,135,20,0.0003290820483691654,4,4,6,1,False,0.06656651231824341,TrialState.COMPLETE
16,256,408,103,20,0.00011798991771053965,4,2,9,1,False,0.14887089577798057,TrialState.COMPLETE
17,256,405,133,13,0.0007848161310829719,4,3,5,1,False,0.09085078394808253,TrialState.COMPLETE
18,128,368,133,19,0.00023242247868067204,4,4,7,2,True,0.08248643945197753,TrialState.COMPLETE
19,512,447,179,16,0.0019972280819372905,4,2,12,5,False,0.13041124904163853,TrialState.COMPLETE
20,256,304,110,9,0.0006184252488307724,4,4,4,1,False,0.11704689173455782,TrialState.COMPLETE
21,128,310,156,17,0.0003291925398821699,8,5,6,2,False,0.07508422337056825,TrialState.COMPLETE
22,128,223,175,19,0.00032746656434643547,4,5,6,2,False,0.07506323646919426,TrialState.COMPLETE
23,128,300,141,19,0.0004416525087400117,8,3,5,3,False,0.05993797626793417,TrialState.COMPLETE
24,128,373,138,19,0.0009920420199566666,4,3,5,3,False,0.07838514051779498,TrialState.COMPLETE
