trial_number,colsample_bytree,learning_rate,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,value,state
0,0.8059010450766678,0.07706453282126448,426,40,5.273020234342534e-07,0.15162236097068077,0.7652178256532975,13.507807598728682,TrialState.COMPLETE
1,0.6017244503930099,0.09200549078095407,561,80,0.0004950222298214481,1.8447269300505606e-06,0.9566169570036727,13.911927403754188,TrialState.COMPLETE
2,0.7164403522512293,0.08029512737088179,893,119,7.14573677475095e-06,0.001297888934264486,0.6118919554546972,14.09566507963321,TrialState.COMPLETE
3,0.6244688517403152,0.02126310799388343,573,47,3.1464024611996416e-08,0.052652144123022576,0.9955426627956854,13.706034216637045,TrialState.COMPLETE
4,0.7059023621650042,0.012576956947853891,602,86,0.01094043004111311,1.8820954312310496e-08,0.6385468177025756,14.040859530747268,TrialState.COMPLETE
5,0.6148340762136891,0.15546635112371412,927,125,2.79094646429496e-08,0.31802290030088515,0.6899973730008072,14.478299949141105,TrialState.COMPLETE
6,0.6637055487847542,0.16161108964671791,925,110,2.9756373961922707e-07,3.5934024713025055e-06,0.9713262061813845,14.661948901608135,TrialState.COMPLETE
7,0.6621658708286151,0.010851179261871858,766,16,1.4740885749198858e-07,0.0005941622546166593,0.9163781667226366,14.762287021002166,TrialState.COMPLETE
8,0.9531711809399828,0.007571484485933005,462,32,0.0011717754632393754,0.004682543531198511,0.9104645748992833,15.898227190236469,TrialState.COMPLETE
9,0.9619259170744994,0.07478992771444888,549,83,6.709026362633876e-06,0.8348177588058854,0.9276480671064956,13.796796677034298,TrialState.COMPLETE
10,0.8569360450553313,0.037306307920511,303,53,0.09871205200031453,2.7747472218583345e-05,0.7925104509952141,13.821915674610697,TrialState.COMPLETE
11,0.8095639153267804,0.024845116570144387,395,55,3.41660630881439e-07,0.034353961299525296,0.8116076735103597,13.878574502845249,TrialState.COMPLETE
12,0.8684729635784856,0.031418493729940204,716,46,1.213980219606331e-08,0.02742728696846253,0.7902901456675,13.498490420222659,TrialState.COMPLETE
13,0.8787660926781918,0.04933437512643683,727,32,1.2079356070043985e-08,0.01457944453494046,0.773251435461368,13.3848720121991,TrialState.COMPLETE
14,0.8876713737237525,0.0438646079732051,753,22,1.4376790916458075e-08,0.005314814089610071,0.8472232924788767,13.429878860294863,TrialState.COMPLETE
15,0.9098430404399036,0.048446214128738396,781,20,3.4231538371692773e-06,0.00017407681375684411,0.8486570115696342,13.443766149331555,TrialState.COMPLETE
16,0.896584528506106,0.05300566893302116,835,28,5.2793668299574115e-05,0.003066111731147221,0.7360385384494884,13.459990025098566,TrialState.COMPLETE
17,0.7642720602288693,0.017737899760548476,673,67,1.0191132050621221e-08,0.007886719367745326,0.846854675044767,13.708087221377408,TrialState.COMPLETE
18,0.9982814638089119,0.04230608775646811,829,31,8.04755146620369e-08,3.089665888564375e-05,0.7213511136341514,13.443702412372982,TrialState.COMPLETE
19,0.8439549769283264,0.11577075575310246,675,65,1.1006763125467915e-06,0.00033679042228921283,0.8600643624110669,13.982925952891149,TrialState.COMPLETE
20,0.9228710273461131,0.00570846233943264,990,22,6.20854880263359e-05,3.167884341022008e-08,0.6738544225083831,15.188322407499289,TrialState.COMPLETE
21,0.9857545855199401,0.046595352316782024,835,36,6.475572942154143e-08,3.408362377535546e-05,0.7075398025408899,13.420043958302514,TrialState.COMPLETE
22,0.987197463652274,0.058846033790189635,747,39,6.025612018488854e-08,7.70975311551037e-06,0.7420006319050456,13.46176636201629,TrialState.COMPLETE
23,0.9431005341241334,0.027523872494715548,837,15,7.968248441306269e-08,3.2638098590166136e-05,0.6909067923798222,13.565839661272552,TrialState.COMPLETE
24,0.8761092023728958,0.03605070631883232,639,37,1.667299393555061e-06,6.258338135278294e-07,0.8225662890147767,13.42304813219421,TrialState.COMPLETE
25,0.770289257076871,0.017363445082312638,646,55,1.5968810102651824e-06,2.523662748328729e-07,0.7702819045913398,13.72147019795369,TrialState.COMPLETE
26,0.8311918815885362,0.11825489195415065,626,97,1.2494655500180461e-05,4.1243533150222294e-07,0.8155889754509891,14.118246464498545,TrialState.COMPLETE
27,0.9317910399881454,0.034904407530921264,497,37,1.2041370047253937e-06,1.980579818553597e-07,0.8749874165525234,13.623529046554037,TrialState.COMPLETE
28,0.8743553272648998,0.06027817112968246,700,45,1.7691953901771728e-07,6.856514712210325e-07,0.7076983718661329,13.441978863039667,TrialState.COMPLETE
29,0.789954292497591,0.023942129031151935,868,58,5.24955450799672e-07,9.03911038260283e-08,0.7652388296609907,13.494564812096872,TrialState.COMPLETE
30,0.972660744771722,0.06570046309955378,798,29,0.00017878001803816595,8.822527988138902e-05,0.7491406430373775,13.370993709536839,TrialState.COMPLETE
31,0.9720877596428922,0.06804237157708565,796,30,0.0002308915904854924,7.612952748907236e-05,0.749662252270868,13.45249798911266,TrialState.COMPLETE
32,0.9740736776979763,0.09746783040840114,729,26,0.00030341201785352863,7.730310992049379e-06,0.6551975230250145,13.64181022756378,TrialState.COMPLETE
33,0.9246722782968655,0.08400172685309018,803,38,0.0027656086129992717,1.2610512416145768e-06,0.78136101135187,13.57189590435586,TrialState.COMPLETE
34,0.9982386463262402,0.03215427104911281,891,47,2.0877766989898693e-05,0.0008921018737496643,0.8286082853097846,13.468183074459866,TrialState.COMPLETE
35,0.8274635057343686,0.047740618720946176,604,37,3.101986998310163e-08,9.238569039666695e-05,0.7162494670719661,13.441787440847634,TrialState.COMPLETE
36,0.9015681385816923,0.06595054634998439,971,75,0.000154231948379494,1.0650284509441237e-05,0.7496547309718029,13.886112358738018,TrialState.COMPLETE
37,0.9509062915002069,0.11260235920796656,538,44,0.0008605105801097601,2.3913356485252833e-06,0.6533094115967828,13.857048567666217,TrialState.COMPLETE
38,0.741357334190002,0.1855526160742399,936,61,3.829399003164864e-08,0.0016736096501744919,0.6912211464939273,14.214278864102335,TrialState.COMPLETE
39,0.9733498247017993,0.019710344716297127,694,92,3.1634116689157612e-06,0.00022784137117073497,0.6167736578135554,13.743440131202636,TrialState.COMPLETE
