trial_number,batch_size,channels,dropout,epochs,head_hidden,kernel_size,learning_rate,value,state
0,512,"[64, 128, 128]",0.027947568756202534,20,93,5,0.0002583548102429781,0.061088645385212685,TrialState.COMPLETE
1,256,"[64, 128, 128]",0.02672349332191379,11,80,5,0.001114339585759684,0.06763813807677892,TrialState.COMPLETE
2,512,"[64, 128, 128]",0.12915060641589143,19,203,3,0.004742203444365718,0.074669385912052,TrialState.COMPLETE
3,128,"[64, 128, 128]",0.026272728368649013,10,202,3,0.0029427625331377035,0.06789302128666132,TrialState.COMPLETE
4,128,"[64, 128, 128]",0.04434688409459918,16,109,5,0.0008900738045363535,0.039942897766450575,TrialState.COMPLETE
5,128,"[64, 128, 128]",0.21388750835634,12,75,3,0.00010952485874029329,0.08628048779929155,TrialState.COMPLETE
6,128,"[128, 128, 128]",0.16982098350786445,20,90,3,0.000191056926474537,0.06941439662331285,TrialState.COMPLETE
7,512,"[64, 64, 128]",0.03309349511789149,8,189,7,0.0042724370277599805,0.09498577929866042,TrialState.COMPLETE
8,128,"[64, 64, 128]",0.26821096004647743,18,50,7,0.001469297349734914,0.07613268479854703,TrialState.COMPLETE
9,128,"[128, 128, 128]",0.056480477583787686,10,164,3,0.0007438150647273702,0.06863143800652056,TrialState.COMPLETE
10,256,"[64, 64, 128]",0.09645815274051162,16,245,5,0.0004281231970592406,0.054210689550845105,TrialState.COMPLETE
11,256,"[64, 64, 128]",0.10043950089622425,16,256,5,0.00037388659055110095,0.0627123124851182,TrialState.COMPLETE
12,256,"[64, 64, 128]",0.08638384437615959,15,136,5,0.0005177692144454262,0.06225291787472542,TrialState.COMPLETE
13,256,"[64, 64, 128]",0.16233840477066436,16,130,5,0.0015849878909167906,0.0700405876602089,TrialState.COMPLETE
14,256,"[128, 128, 128]",0.08129603448683251,13,244,5,0.0007807321975507328,0.06852838196299872,TrialState.COMPLETE
15,128,"[64, 128, 128]",0.12766006072606711,17,116,5,0.00041760049317213926,0.05005109363173506,TrialState.COMPLETE
16,128,"[64, 128, 128]",0.20627800003323835,18,114,5,0.00020352649513224018,0.04780662382471309,TrialState.COMPLETE
17,128,"[64, 128, 128]",0.21569527863210047,14,156,7,0.00012778853095695767,0.06852699573643534,TrialState.COMPLETE
18,128,"[64, 128, 128]",0.26310761352038126,18,33,5,0.00022366960773422686,0.05399707092154902,TrialState.COMPLETE
19,128,"[64, 128, 128]",0.2084698321479438,14,115,5,0.0024355861024741546,0.06525385774132787,TrialState.COMPLETE
20,128,"[64, 128, 128]",0.297860485511086,18,109,7,0.001033987617985345,0.04917312808602342,TrialState.COMPLETE
21,128,"[64, 128, 128]",0.28289890988861177,18,108,7,0.0010185642651705429,0.06275872977484065,TrialState.COMPLETE
22,128,"[64, 128, 128]",0.2401981130776904,17,59,7,0.0005919943049498933,0.05842157737914246,TrialState.COMPLETE
23,128,"[64, 128, 128]",0.18884685148243488,19,149,7,0.0018688626885789003,0.04647655321077199,TrialState.COMPLETE
24,128,"[64, 128, 128]",0.1961862464622325,19,160,7,0.0018974713778650216,0.050264630620753564,TrialState.COMPLETE
