Dataset,Split,Model,Explainer,Metric,n_total,n_valid,median_dir,mean_dir,iqr_dir,median_raw,iqr_raw,rank
CWRU_12k,val,ENCODER,deeplift,Average Sensitivity (Classif),30,30,-7.135809575446905,-35.26664981583327,9.618774621868766,7.135809575446905,9.618774621868766,10.0
CWRU_12k,val,ENCODER,deepliftshap,Average Sensitivity (Classif),30,30,-3.1146171167406163,-11.891894603082452,4.852828449184987,3.1146171167406163,4.852828449184987,9.0
CWRU_12k,val,ENCODER,expected_gradients,Average Sensitivity (Classif),30,30,-1.7846269838321636,-2.0817884397179096,1.0113498442003082,1.7846269838321636,1.0113498442003082,7.0
CWRU_12k,val,ENCODER,feature_ablation,Average Sensitivity (Classif),30,30,-1.0160318475562327,-1.450127038398045,1.5333312212793835,1.0160318475562327,1.5333312212793835,4.0
CWRU_12k,val,ENCODER,gradient_x_input,Average Sensitivity (Classif),30,30,-1.3222919063510903,-2.080490557742057,1.8056002115574792,1.3222919063510903,1.8056002115574792,5.0
CWRU_12k,val,ENCODER,gradientshap,Average Sensitivity (Classif),30,30,-2.8562415221754365,-2.981737296516504,1.507821074726024,2.8562415221754365,1.507821074726024,8.0
CWRU_12k,val,ENCODER,guided_back_prop,Average Sensitivity (Classif),30,30,-0.07838871744090875,-0.09650222834566285,0.09087413442830192,0.07838871744090875,0.09087413442830192,2.0
CWRU_12k,val,ENCODER,integrated_gradients,Average Sensitivity (Classif),30,30,-9.734299677010284,-11.492132934086753,5.5505804156335685,9.734299677010284,5.5505804156335685,11.0
CWRU_12k,val,ENCODER,lime_tabular,Average Sensitivity (Classif),30,30,-1.3960067243499203,-1.9714580818148226,1.9267255352214663,1.3960067243499203,1.9267255352214663,6.0
CWRU_12k,val,ENCODER,occlusion,Average Sensitivity (Classif),30,30,-57.611890426259436,-78.89478136068898,44.197891808035884,57.611890426259436,44.197891808035884,12.0
CWRU_12k,val,ENCODER,saliency,Average Sensitivity (Classif),30,30,-0.0783883729683623,-0.09650078258278066,0.09086584877893703,0.0783883729683623,0.09086584877893703,1.0
CWRU_12k,val,ENCODER,smooth_gradient,Average Sensitivity (Classif),30,30,-0.2406347717310962,-0.28823210849118125,0.29979754436140704,0.2406347717310962,0.29979754436140704,3.0
CWRU_12k,val,ENCODER,deeplift,"Complexity (Classif, Chan)",30,30,-0.8940054560218813,-0.8943165877228443,0.1143547208095127,0.8940054560218813,0.1143547208095127,5.0
CWRU_12k,val,ENCODER,deepliftshap,"Complexity (Classif, Chan)",30,30,-0.9159276760553543,-0.8956208075319025,0.10278615311078287,0.9159276760553543,0.10278615311078287,7.0
CWRU_12k,val,ENCODER,expected_gradients,"Complexity (Classif, Chan)",30,30,-0.9441686224309326,-0.9326354202799533,0.0672987561415136,0.9441686224309326,0.0672987561415136,8.0
CWRU_12k,val,ENCODER,feature_ablation,"Complexity (Classif, Chan)",30,30,-0.8442088018220114,-0.8515580080755807,0.2233399685492975,0.8442088018220114,0.2233399685492975,3.0
CWRU_12k,val,ENCODER,gradient_x_input,"Complexity (Classif, Chan)",30,30,-0.884446896876735,-0.8764113543070684,0.18477555568177195,0.884446896876735,0.18477555568177195,4.0
CWRU_12k,val,ENCODER,gradientshap,"Complexity (Classif, Chan)",30,30,-0.9106741634744192,-0.9057522078370083,0.07798791769107682,0.9106741634744192,0.07798791769107682,6.0
CWRU_12k,val,ENCODER,guided_back_prop,"Complexity (Classif, Chan)",30,30,-0.9763083629393933,-0.9713766898291772,0.035679108085343914,0.9763083629393933,0.035679108085343914,10.0
