Dataset,Split,Model,Explainer,Metric,n_total,n_valid,median_dir,mean_dir,iqr_dir,median_raw,iqr_raw,rank
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,Pixel Flipping,3,3,0.13013552357906943,0.1496515631618825,0.049987970411751376,0.13013552357906943,0.049987970411751376,7.0
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,Faithfulness Correlation,3,3,-0.9523809523809523,-0.9285714285714285,0.0357142857142857,-0.9523809523809523,0.0357142857142857,6.0
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,Continuity,3,3,-0.032173913043478275,-0.024202898550724623,0.013260869565217381,0.032173913043478275,0.013260869565217381,4.0
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,Average Sensitivity,3,3,-3.877181698383985e-08,-4.937918392660197e-06,7.387487328446745e-06,3.877181698383985e-08,7.387487328446745e-06,1.0
lux_generation_2015_clean,test,LinearRegressor,lime_tabular,Sparseness (Elem),3,3,0.4052454162919775,0.2715776992842327,0.2047438407803603,0.4052454162919775,0.2047438407803603,7.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,Pixel Flipping,3,3,0.1356795061897676,0.1495597084704173,0.045793505019467634,0.1356795061897676,0.045793505019467634,4.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,Faithfulness Correlation,3,3,-0.8095238095238095,-0.8571428571428572,0.09523809523809512,-0.8095238095238095,0.09523809523809512,1.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,Continuity,3,3,-0.06130434782608696,-0.1260869565217391,0.10413043478260864,0.06130434782608696,0.10413043478260864,6.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,Average Sensitivity,3,3,-5.602225231666552,-6.052055386708235,0.9265835099093245,5.602225231666552,0.9265835099093245,7.0
lux_generation_2015_clean,test,LinearRegressor,kernel_shap,Sparseness (Elem),3,3,0.6781064753283054,0.6875262408346418,0.023382572270949087,0.6781064753283054,0.023382572270949087,1.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,Pixel Flipping,3,3,0.1371245568221338,0.15178517303155203,0.04802796193740566,0.1371245568221338,0.04802796193740566,1.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,Faithfulness Correlation,3,3,-0.9285714285714286,-0.9444444444444445,0.04761904761904756,-0.9285714285714286,0.04761904761904756,4.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,Continuity,3,3,-0.03086956521739137,-0.03043478260869566,0.008043478260869541,0.03086956521739137,0.008043478260869541,3.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,Average Sensitivity,3,3,-1.6031473098681837,-1.6617267239547449,0.3427224544309193,1.6031473098681837,0.3427224544309193,4.0
lux_generation_2015_clean,test,LinearRegressor,sampling_shap,Sparseness (Elem),3,3,0.563814691807734,0.5659111197315206,0.011014378434865524,0.563814691807734,0.011014378434865524,5.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,Pixel Flipping,3,3,0.1371245568221338,0.15043000364841128,0.04958547575132087,0.1371245568221338,0.04958547575132087,1.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,Faithfulness Correlation,3,3,-0.9047619047619048,-0.9285714285714285,0.059523809523809534,-0.9047619047619048,0.059523809523809534,2.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,Continuity,3,3,-0.02869565217391301,-0.041304347826086905,0.02456521739130435,0.02869565217391301,0.02456521739130435,2.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,Average Sensitivity,3,3,-1.7649363225234551,-1.8007267812733343,0.31415703595840205,1.7649363225234551,0.31415703595840205,5.0
lux_generation_2015_clean,test,LinearRegressor,shapley_sampling,Sparseness (Elem),3,3,0.5607599693354549,0.5607167121324949,0.011599980640065732,0.5607599693354549,0.011599980640065732,6.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,Pixel Flipping,3,3,0.9552491803905283,0.9244914344784503,0.1650926461992459,0.9552491803905283,0.1650926461992459,2.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,Faithfulness Correlation,3,3,0.35714285714285715,0.3968253968253968,0.24999999999999994,0.35714285714285715,0.24999999999999994,1.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,Continuity,3,3,-0.2691304347826087,-0.2608695652173913,0.03108695652173915,0.2691304347826087,0.03108695652173915,4.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,Average Sensitivity,3,3,-52.30350037821315,-48.66711098080424,8.02956350133526,52.30350037821315,8.02956350133526,4.0
lux_generation_2015_clean,test,MLPRegressor,feature_ablation,Sparseness (Elem),3,3,0.42928849828583315,0.43477215148014814,0.07874127484616522,0.42928849828583315,0.07874127484616522,4.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,Pixel Flipping,3,3,0.9905353448986366,1.001859072189548,0.3962649607157849,0.9905353448986366,0.3962649607157849,1.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,Faithfulness Correlation,3,3,0.0,-0.031746031746031744,0.11904761904761904,0.0,0.11904761904761904,3.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,Continuity,3,3,-0.01565217391304352,-0.013188405797101455,0.0050000000000000044,0.01565217391304352,0.0050000000000000044,1.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,Average Sensitivity,3,3,-9.239453403011499,-9.65420780375459,4.822930820925167,9.239453403011499,4.822930820925167,2.0
lux_generation_2015_clean,test,MLPRegressor,occlusion,Sparseness (Elem),3,3,0.3798325617451993,0.3778440955472495,0.012006951307063474,0.3798325617451993,0.012006951307063474,7.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,Pixel Flipping,3,3,0.8998721650834395,0.8940218435000693,0.13085127560512433,0.8998721650834395,0.13085127560512433,3.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,Faithfulness Correlation,3,3,0.09523809523809523,0.20634920634920637,0.23809523809523808,0.09523809523809523,0.23809523809523808,2.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,Continuity,3,3,-0.04391304347826086,-0.05550724637681159,0.02782608695652178,0.04391304347826086,0.02782608695652178,2.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,Average Sensitivity,3,3,-20.538426134642197,-22.264240275598766,5.212394792306867,20.538426134642197,5.212394792306867,3.0
lux_generation_2015_clean,test,MLPRegressor,tabular_ablation,Sparseness (Elem),3,3,0.39175140275161113,0.387395732491664,0.012004386221504904,0.39175140275161113,0.012004386221504904,6.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,Pixel Flipping,3,3,0.6745494887057485,0.8730903539169592,0.5002971359833666,0.6745494887057485,0.5002971359833666,7.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,Faithfulness Correlation,3,3,-0.047619047619047616,0.11111111111111112,0.33333333333333337,-0.047619047619047616,0.33333333333333337,4.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,Continuity,3,3,-0.05173913043478262,-0.1381159420289855,0.1460869565217391,0.05173913043478262,0.1460869565217391,3.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,Average Sensitivity,3,3,-2.3945591798835357e-08,-1.0315161136566374e-05,1.5460767688109128e-05,2.3945591798835357e-08,1.5460767688109128e-05,1.0
lux_generation_2015_clean,test,MLPRegressor,lime_tabular,Sparseness (Elem),3,3,0.39701352048220906,0.26630881106610976,0.2009564563580601,0.39701352048220906,0.2009564563580601,5.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,Pixel Flipping,3,3,0.6906457198338491,0.6542652446447625,0.07919695854513731,0.6906457198338491,0.07919695854513731,6.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,Faithfulness Correlation,3,3,-0.30952380952380953,-0.4047619047619047,0.30952380952380953,-0.30952380952380953,0.30952380952380953,6.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,Continuity,3,3,-0.8878260869565218,-0.8028985507246377,0.15000000000000002,0.8878260869565218,0.15000000000000002,7.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,Average Sensitivity,3,3,-73.91383292916281,-82.49444694761291,17.080207418636192,73.91383292916281,17.080207418636192,5.0
lux_generation_2015_clean,test,MLPRegressor,kernel_shap,Sparseness (Elem),3,3,0.7297033866039448,0.7186175533235376,0.025856026256287024,0.7297033866039448,0.025856026256287024,1.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,Pixel Flipping,3,3,0.8585489399543077,1.0743233623922175,0.34872764625749597,0.8585489399543077,0.34872764625749597,4.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,Faithfulness Correlation,3,3,-0.047619047619047616,-0.14285714285714285,0.2857142857142857,-0.047619047619047616,0.2857142857142857,4.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,Continuity,3,3,-0.4452173913043478,-0.46826086956521734,0.14630434782608692,0.4452173913043478,0.14630434782608692,5.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,Average Sensitivity,3,3,-100.22925633268768,-85.93138033206856,26.647910003392838,100.22925633268768,26.647910003392838,7.0
lux_generation_2015_clean,test,MLPRegressor,sampling_shap,Sparseness (Elem),3,3,0.5455896317609628,0.5604484270179739,0.022996314669099127,0.5455896317609628,0.022996314669099127,2.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,RMSE,1,1,-0.7313702702522278,-0.7313702702522278,0.0,0.7313702702522278,0.0,1.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,Pixel Flipping,3,3,0.7377029618215403,1.0119030931119768,0.6717979258876121,0.7377029618215403,0.6717979258876121,5.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,Faithfulness Correlation,3,3,-0.5476190476190477,-0.4603174603174604,0.3690476190476191,-0.5476190476190477,0.3690476190476191,7.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,Continuity,3,3,-0.44869565217391305,-0.44623188405797104,0.010652173913043461,0.44869565217391305,0.010652173913043461,6.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,Average Sensitivity,3,3,-77.79009420094144,-90.60017842214147,23.896743981251632,77.79009420094144,23.896743981251632,6.0
lux_generation_2015_clean,test,MLPRegressor,shapley_sampling,Sparseness (Elem),3,3,0.4940150878462522,0.48216411282098365,0.03588242902190408,0.4940150878462522,0.03588242902190408,3.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,Faithfulness Correlation,3,3,-0.9523809523809523,-0.9365079365079364,0.023809523809523725,-0.9523809523809523,0.023809523809523725,3.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,Continuity,3,3,-0.1847826086956521,-0.19724637681159418,0.07130434782608697,0.1847826086956521,0.07130434782608697,6.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,Average Sensitivity,3,3,-2.900690140133814,-2.6462097283079444,0.8400100506425932,2.900690140133814,0.8400100506425932,6.0
lux_generation_2015_clean,test,LSTMRegressor,feature_ablation,Sparseness (Elem),3,3,0.6289041054994777,0.6207097582246215,0.05619112064340559,0.6289041054994777,0.05619112064340559,2.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,Faithfulness Correlation,3,3,-0.9523809523809523,-0.8809523809523809,0.13095238095238093,-0.9523809523809523,0.13095238095238093,3.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,Continuity,3,3,-0.050434782608695605,-0.04260869565217388,0.0317391304347826,0.050434782608695605,0.0317391304347826,2.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,Average Sensitivity,3,3,-1.1328238154570955,-1.2347997478003225,0.4603981110482067,1.1328238154570955,0.4603981110482067,2.0
lux_generation_2015_clean,test,LSTMRegressor,occlusion,Sparseness (Elem),3,3,0.5619106382833854,0.5689476355500745,0.05123082975469806,0.5619106382833854,0.05123082975469806,4.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,Faithfulness Correlation,3,3,-0.9523809523809523,-0.9523809523809524,0.04761904761904756,-0.9523809523809523,0.04761904761904756,3.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,Continuity,3,3,-0.0852173913043478,-0.09246376811594204,0.03260869565217395,0.0852173913043478,0.03260869565217395,5.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,Average Sensitivity,3,3,-1.8207602684095767,-1.6842506581018222,0.27687578259885703,1.8207602684095767,0.27687578259885703,4.0
lux_generation_2015_clean,test,LSTMRegressor,tabular_ablation,Sparseness (Elem),3,3,0.5774682900224444,0.582469599814112,0.04759323663396309,0.5774682900224444,0.04759323663396309,3.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,Faithfulness Correlation,3,3,-0.9047619047619048,-0.865079365079365,0.1071428571428572,-0.9047619047619048,0.1071428571428572,1.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,Continuity,3,3,-0.037391304347826115,-0.03594202898550721,0.007391304347826089,0.037391304347826115,0.007391304347826089,1.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,Average Sensitivity,3,3,-1.106263972456665e-08,-7.118188113636775e-06,1.067174935054373e-05,1.106263972456665e-08,1.067174935054373e-05,1.0
lux_generation_2015_clean,test,LSTMRegressor,lime_tabular,Sparseness (Elem),3,3,0.4105653412157193,0.27919500012242293,0.21350982957577475,0.4105653412157193,0.21350982957577475,7.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,Faithfulness Correlation,3,3,-0.9285714285714286,-0.9444444444444443,0.04761904761904756,-0.9285714285714286,0.04761904761904756,2.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,Continuity,3,3,-0.35043478260869565,-0.32623188405797104,0.13326086956521743,0.35043478260869565,0.13326086956521743,7.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,Average Sensitivity,3,3,-4.8867773359306925,-4.664841633294674,0.520609686803053,4.8867773359306925,0.520609686803053,7.0
lux_generation_2015_clean,test,LSTMRegressor,kernel_shap,Sparseness (Elem),3,3,0.6866521501921362,0.6887143638121271,0.04084280637646853,0.6866521501921362,0.04084280637646853,1.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,Faithfulness Correlation,3,3,-0.9761904761904762,-0.9682539682539683,0.011904761904761973,-0.9761904761904762,0.011904761904761973,6.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,Continuity,3,3,-0.05391304347826087,-0.055797101449275334,0.014130434782608725,0.05391304347826087,0.014130434782608725,4.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,Average Sensitivity,3,3,-1.9239129375973305,-1.8975530620706316,0.09311344962842583,1.9239129375973305,0.09311344962842583,5.0
lux_generation_2015_clean,test,LSTMRegressor,sampling_shap,Sparseness (Elem),3,3,0.5237187906001899,0.5359259545866966,0.0237732634615615,0.5237187906001899,0.0237732634615615,6.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,RMSE,1,1,-0.5634467601776123,-0.5634467601776123,0.0,0.5634467601776123,0.0,1.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,Pixel Flipping,3,3,0.11677214035638933,0.11261982820367995,0.010729511608611547,0.11677214035638933,0.010729511608611547,1.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,Faithfulness Correlation,3,3,-0.9761904761904762,-0.9444444444444443,0.07142857142857151,-0.9761904761904762,0.07142857142857151,6.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,Continuity,3,3,-0.053043478260869525,-0.04550724637681158,0.014782608695652177,0.053043478260869525,0.014782608695652177,3.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,Average Sensitivity,3,3,-1.7367672091376174,-1.9585659395977177,0.4798191738144395,1.7367672091376174,0.4798191738144395,3.0
lux_generation_2015_clean,test,LSTMRegressor,shapley_sampling,Sparseness (Elem),3,3,0.5263561315965792,0.5264187588987393,0.014910034410115403,0.5263561315965792,0.014910034410115403,5.0
