Dataset,Split,Model,Explainer,Metric,n_total,n_valid,median_dir,mean_dir,iqr_dir,median_raw,iqr_raw,rank
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,Pixel Flipping,3,3,0.13173998786452212,0.14874101156246733,0.050530535929087295,0.13173998786452212,0.050530535929087295,6.0
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,Faithfulness Correlation,3,3,-0.9761904761904762,-0.9523809523809524,0.0357142857142857,-0.9761904761904762,0.0357142857142857,7.0
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,Continuity,3,3,-0.13391304347826083,-0.1333333333333333,0.018260869565217386,0.13391304347826083,0.018260869565217386,7.0
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,Average Sensitivity,3,3,-3.5926149394861415,-3.8274107950796594,0.4116654336988441,3.5926149394861415,0.4116654336988441,6.0
lux_generation_2015_clean,test,LinearRegressor,feature_ablation,Sparseness (Elem),3,3,0.5816272346239135,0.5849170369849449,0.056624300364825464,0.5816272346239135,0.056624300364825464,2.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,Pixel Flipping,3,3,0.13565851374675408,0.14996104737327673,0.04518100044367171,0.13565851374675408,0.04518100044367171,5.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,Faithfulness Correlation,3,3,-0.9047619047619048,-0.9365079365079364,0.04761904761904756,-0.9047619047619048,0.04761904761904756,2.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,Continuity,3,3,-0.006956521739130417,-0.024347826086956476,0.029565217391304355,0.006956521739130417,0.029565217391304355,1.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,Average Sensitivity,3,3,-1.3599295448483775,-1.2112530557501542,0.4933310865560008,1.3599295448483775,0.4933310865560008,2.0
lux_generation_2015_clean,test,LinearRegressor,occlusion,Sparseness (Elem),3,3,0.5732114431296542,0.5778897819093748,0.00801941995515465,0.5732114431296542,0.00801941995515465,4.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,RMSE,1,1,-0.013745715841650963,-0.013745715841650963,0.0,0.013745715841650963,0.0,1.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,Pixel Flipping,3,3,0.1371245568221338,0.15160884513094075,0.047819758747333435,0.1371245568221338,0.047819758747333435,1.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,Faithfulness Correlation,3,3,-0.9285714285714286,-0.9444444444444445,0.04761904761904756,-0.9285714285714286,0.04761904761904756,4.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,Continuity,3,3,-0.050434782608695716,-0.05681159420289857,0.015652173913043466,0.050434782608695716,0.015652173913043466,5.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,Average Sensitivity,3,3,-1.4588526014672842,-1.4605966854761199,0.06432873946949624,1.4588526014672842,0.06432873946949624,3.0
lux_generation_2015_clean,test,LinearRegressor,tabular_ablation,Sparseness (Elem),3,3,0.5746495470518842,0.568125675323978,0.011982079735175288,0.5746495470518842,0.011982079735175288,3.0
