Task,Dataset,Model,Explainer,Metric,Value
Regression,lux_generation_2015_clean,MLPRegressor,tabular_ablation,Continuity,-0.04391304347826086
Regression,lux_generation_2015_clean,MLPRegressor,tabular_ablation,Average Sensitivity,-20.538426134642197
Regression,lux_generation_2015_clean,MLPRegressor,tabular_ablation,Sparseness (Elem),0.39175140275161113
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,RMSE,-0.7313702702522278
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,Pixel Flipping,0.6745494887057485
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,Faithfulness Correlation,-0.047619047619047616
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,Continuity,-0.05173913043478262
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,Average Sensitivity,-2.3945591798835357e-08
Regression,lux_generation_2015_clean,MLPRegressor,lime_tabular,Sparseness (Elem),0.39701352048220906
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,RMSE,-0.7313702702522278
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,Pixel Flipping,0.6906457198338491
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,Faithfulness Correlation,-0.30952380952380953
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,Continuity,-0.8878260869565218
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,Average Sensitivity,-73.91383292916281
Regression,lux_generation_2015_clean,MLPRegressor,kernel_shap,Sparseness (Elem),0.7297033866039448
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,RMSE,-0.7313702702522278
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,Pixel Flipping,0.8585489399543077
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,Faithfulness Correlation,-0.047619047619047616
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,Continuity,-0.4452173913043478
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,Average Sensitivity,-100.22925633268768
Regression,lux_generation_2015_clean,MLPRegressor,sampling_shap,Sparseness (Elem),0.5455896317609628
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,RMSE,-0.7313702702522278
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,Pixel Flipping,0.7377029618215403
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,Faithfulness Correlation,-0.5476190476190477
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,Continuity,-0.44869565217391305
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,Average Sensitivity,-77.79009420094144
Regression,lux_generation_2015_clean,MLPRegressor,shapley_sampling,Sparseness (Elem),0.4940150878462522
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,Faithfulness Correlation,-0.9523809523809523
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,Continuity,-0.1847826086956521
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,Average Sensitivity,-2.900690140133814
Regression,lux_generation_2015_clean,LSTMRegressor,feature_ablation,Sparseness (Elem),0.6289041054994777
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,Faithfulness Correlation,-0.9523809523809523
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,Continuity,-0.050434782608695605
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,Average Sensitivity,-1.1328238154570955
Regression,lux_generation_2015_clean,LSTMRegressor,occlusion,Sparseness (Elem),0.5619106382833854
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,Faithfulness Correlation,-0.9523809523809523
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,Continuity,-0.0852173913043478
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,Average Sensitivity,-1.8207602684095767
Regression,lux_generation_2015_clean,LSTMRegressor,tabular_ablation,Sparseness (Elem),0.5774682900224444
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,Faithfulness Correlation,-0.9047619047619048
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,Continuity,-0.037391304347826115
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,Average Sensitivity,-1.106263972456665e-08
Regression,lux_generation_2015_clean,LSTMRegressor,lime_tabular,Sparseness (Elem),0.4105653412157193
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,Faithfulness Correlation,-0.9285714285714286
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,Continuity,-0.35043478260869565
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,Average Sensitivity,-4.8867773359306925
Regression,lux_generation_2015_clean,LSTMRegressor,kernel_shap,Sparseness (Elem),0.6866521501921362
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,Faithfulness Correlation,-0.9761904761904762
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,Continuity,-0.05391304347826087
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,Average Sensitivity,-1.9239129375973305
Regression,lux_generation_2015_clean,LSTMRegressor,sampling_shap,Sparseness (Elem),0.5237187906001899
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,RMSE,-0.5634467601776123
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,Pixel Flipping,0.11677214035638933
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,Faithfulness Correlation,-0.9761904761904762
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,Continuity,-0.053043478260869525
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,Average Sensitivity,-1.7367672091376174
Regression,lux_generation_2015_clean,LSTMRegressor,shapley_sampling,Sparseness (Elem),0.5263561315965792
