trial_number,batch_size,bidirectional,dropout,epochs,hidden_size,learning_rate,num_layers,temporal_pool,value,state
0,32,False,0.19592396852760913,17,167,0.0015693814684232547,1,last,0.993103448275862,TrialState.COMPLETE
1,32,False,0.260092770176867,25,202,0.0005830625096272978,3,max,0.9862068965517241,TrialState.COMPLETE
2,64,True,0.08133097811917309,27,102,0.0001906974815481692,1,max,0.9724137931034482,TrialState.COMPLETE
3,128,False,0.2011529205230564,15,71,0.00028886665156881364,3,max,0.4827586206896552,TrialState.COMPLETE
4,32,False,0.10469775717292083,20,126,0.0001804163299447174,3,max,0.9862068965517241,TrialState.COMPLETE
5,64,False,0.14783502030215473,10,122,0.002234818258771104,2,max,0.9448275862068966,TrialState.COMPLETE
6,32,True,0.22470361398318026,23,153,0.00016920207061410318,3,max,0.993103448275862,TrialState.COMPLETE
7,64,False,0.29837206024035084,12,204,5.5840141321306105e-05,2,mean,0.9448275862068966,TrialState.COMPLETE
8,128,True,0.14311739856997094,26,90,0.00014342514338701543,3,max,0.7862068965517242,TrialState.COMPLETE
9,128,False,0.27965410652227884,14,232,0.0001483860932547136,1,max,0.6896551724137931,TrialState.COMPLETE
10,32,True,0.04269034499805528,18,173,0.002088269945648721,1,last,0.9862068965517241,TrialState.COMPLETE
11,32,True,0.2128187046484428,22,157,0.0007110824513073176,2,last,1.0,TrialState.COMPLETE
12,32,True,0.19805832660568126,18,162,0.0008678861575666583,2,last,0.993103448275862,TrialState.COMPLETE
13,32,True,0.23140439068696977,22,191,0.0015122724805173785,1,last,0.9862068965517241,TrialState.COMPLETE
14,32,False,0.17784951362242202,17,248,0.0010638867203655582,2,last,0.993103448275862,TrialState.COMPLETE
15,32,True,0.007396880568559389,30,137,0.0005147591797033027,1,last,0.9862068965517241,TrialState.COMPLETE
16,32,False,0.24494242206174796,22,179,0.0010006510237411928,2,mean,0.9793103448275862,TrialState.COMPLETE
17,32,True,0.1744662222417997,20,145,0.0028075299533271304,1,last,0.9793103448275862,TrialState.COMPLETE
18,64,False,0.11487848178732218,15,106,0.00034629113337394837,2,last,0.993103448275862,TrialState.COMPLETE
19,128,True,0.21903674244388338,20,210,0.0014446269699382507,2,last,0.9448275862068966,TrialState.COMPLETE
