trial_number,batch_size,d_ff,d_model,epochs,learning_rate,n_heads,num_layers,patch_len,stride,use_cls_token,value,state
0,32,305,82,14,0.0014730851839929258,4,6,13,5,True,0.9724137931034482,TrialState.COMPLETE
1,128,396,73,19,0.0003996815183195183,8,4,16,5,True,0.8827586206896552,TrialState.COMPLETE
2,32,397,142,15,7.417889138628914e-05,4,6,6,5,False,0.9793103448275862,TrialState.COMPLETE
3,128,324,127,17,7.567559451436764e-05,4,4,20,5,True,0.9310344827586207,TrialState.COMPLETE
4,32,392,165,20,0.0024851314815959214,4,6,9,4,False,0.8413793103448276,TrialState.COMPLETE
5,32,256,87,16,0.0005390801390172494,4,2,9,10,False,0.9793103448275862,TrialState.COMPLETE
6,128,337,184,20,0.0018913564675399992,8,6,6,3,True,0.9724137931034482,TrialState.COMPLETE
7,128,448,152,22,0.00018973279854565152,8,6,10,6,False,0.8896551724137931,TrialState.COMPLETE
8,128,374,97,28,0.00022951101219395657,8,5,13,6,False,0.9241379310344827,TrialState.COMPLETE
9,64,430,98,30,0.00014842966631227662,8,3,11,9,False,0.9379310344827586,TrialState.COMPLETE
10,64,129,129,10,6.985785377968964e-05,4,5,6,2,False,0.8344827586206897,TrialState.COMPLETE
11,32,218,124,13,0.0006879846848177327,4,2,8,10,False,0.9724137931034482,TrialState.COMPLETE
12,32,254,142,15,0.000688924072140336,4,2,7,8,False,0.9862068965517241,TrialState.COMPLETE
13,32,512,145,24,0.0009003192136656782,4,3,6,8,False,0.9241379310344827,TrialState.COMPLETE
14,32,205,173,10,0.00011742379693185692,4,3,17,8,False,0.9103448275862069,TrialState.COMPLETE
15,32,270,146,14,0.0002932173204667362,4,5,7,7,False,0.993103448275862,TrialState.COMPLETE
16,32,258,112,13,0.0002958554451549378,4,5,11,8,False,0.9172413793103448,TrialState.COMPLETE
17,64,154,160,17,0.001048329014344102,4,4,8,7,False,0.8758620689655172,TrialState.COMPLETE
18,32,275,185,12,0.0004446137345827479,4,2,16,7,True,0.9241379310344827,TrialState.COMPLETE
19,32,196,139,24,0.0003148098549596443,4,5,8,9,False,0.9448275862068966,TrialState.COMPLETE
20,64,241,112,18,0.000764093728902801,4,4,12,7,False,0.9517241379310345,TrialState.COMPLETE
21,32,353,141,15,0.00011104259064515057,4,5,7,4,False,0.9793103448275862,TrialState.COMPLETE
22,32,293,154,15,5.58799744324061e-05,4,6,7,6,False,0.9448275862068966,TrialState.COMPLETE
23,32,461,172,12,0.00122288520728404,4,5,10,9,False,0.8896551724137931,TrialState.COMPLETE
24,32,297,135,16,0.00022540917728425288,4,6,7,7,False,0.9172413793103448,TrialState.COMPLETE
25,32,176,117,11,0.000582884930404439,4,3,6,4,False,0.9379310344827586,TrialState.COMPLETE
26,32,233,149,14,0.00010687780581980894,8,4,9,6,True,0.9448275862068966,TrialState.COMPLETE
27,32,355,163,22,0.00016016369301258352,4,5,8,8,False,0.9724137931034482,TrialState.COMPLETE
28,64,407,137,18,0.00028526196002670085,4,6,7,5,False,0.9517241379310345,TrialState.COMPLETE
29,32,290,175,14,0.0014284862684345522,4,6,14,3,True,0.896551724137931,TrialState.COMPLETE
